Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Problem_Type,Category
Spanish 1,14.0,6.0,16.0,-55.0,53.0,224,False,43.0,True,['Apr'],43.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,14.0,5.0,22.0,5.0,23.0,On Track (Low Util),Language
Spanish 2,12.0,4.0,14.0,-62.0,51.0,263,False,31.0,False,,31.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,5.0,5.0,11.0,1.0,9.0,On Track (Low Util),Language
AP Statistics,6.0,5.0,7.0,-19.0,8.0,124,False,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,7.0,5.0,8.0,3.0,38.0,On Track (Low Util),AP
AP English Language and Composition,27.0,5.0,32.0,-81.0,154.0,540,False,35.0,True,['Apr'],35.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,21.0,4.0,52.0,18.0,35.0,On Track (Low Util),AP
Essay Editing,46.0,5.0,55.0,-89.0,285.0,915,False,35.0,True,['Apr'],35.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,36.0,4.0,70.0,19.0,27.0,On Track (Low Util),Other
AP Physics C: Mechanics,2.0,5.0,3.0,102.0,-17.0,49,True,33.0,True,['Apr'],33.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,1.0,4.0,1.0,1.0,100.0,True Supply Problem,AP
Calculus 3,4.0,5.0,5.0,21.0,-6.0,82,True,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,1.0,4.0,1.0,1.0,100.0,True Supply Problem,College
AP Computer Science A,6.0,6.0,8.0,-14.0,6.0,117,False,39.0,True,['Apr'],39.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,8.0,1.0,12.0,On Track (Low Util),AP
IB Mathematics: Analysis and Approaches,1.0,6.0,1.0,500.0,-35.0,17,True,42.0,True,['Apr'],42.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,,4.0,,,,Supply Problem (No Util Data),IB
Adobe Illustrator,8.0,3.0,10.0,-61.0,34.0,255,False,22.0,True,['Apr'],25.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,7.0,4.0,57.0,On Track,Arts & Music
SAT Math,12.0,2.0,15.0,-83.0,72.0,583,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,4.0,29.0,19.0,66.0,On Track,Test Prep
Study Skills And Organization,15.0,4.0,18.0,-74.0,76.0,382,False,27.0,True,['Apr'],21.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,5.0,6.0,3.0,4.0,13.0,7.0,54.0,On Track,Other
Calculus 2,9.0,5.0,11.0,-49.0,32.0,198,False,33.0,True,['Apr'],31.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,4.0,5.0,3.0,60.0,On Track,College
Public Speaking,23.0,3.0,28.0,-88.0,141.0,805,False,20.0,True,['Apr'],14.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,1.0,4.0,6.0,11.0,8.0,20.0,4.0,20.0,On Track (Low Util),College
Trigonometry,20.0,3.0,24.0,-84.0,117.0,609,False,23.0,True,['Apr'],22.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,15.0,4.0,25.0,12.0,48.0,On Track (Low Util),High School
Nursing,10.0,3.0,11.0,-68.0,46.0,317,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12.0,4.0,15.0,4.0,27.0,On Track (Low Util),Professional/Cert
College English,30.0,4.0,36.0,-87.0,185.0,784,False,27.0,False,,27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,28.0,4.0,62.0,19.0,31.0,On Track (Low Util),College
Finance,4.0,3.0,5.0,-33.0,10.0,150,False,21.0,True,['Apr'],21.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,4.0,10.0,1.0,10.0,On Track (Low Util),College
Biochemistry,6.0,3.0,7.0,-48.0,19.0,192,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,On Track (Low Util),College
College Economics,3.0,4.0,3.0,51.0,-10.0,66,True,29.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,3.0,3.0,3.0,4.0,5.0,6.0,2.0,4.0,5.0,2.0,40.0,Possible Placement Issue,College
Autocad,2.0,2.0,3.0,-8.0,1.0,109,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,100.0,On Track,Arts & Music
AP Pre-Calculus,5.0,37.0,6.0,605.0,-222.0,14,True,259.0,True,['Apr'],265.0,31.0,33.0,34.0,37.0,41.0,44.0,45.0,25.0,33.0,34.0,37.0,41.0,44.0,45.0,9.0,25.0,12.0,6.0,50.0,True Supply Problem,AP
Managerial Accounting,3.0,4.0,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],26.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,,2.0,4.0,1.0,25.0,Possible Placement Issue,College
Macroeconomics,3.0,3.0,3.0,29.0,-5.0,78,True,24.0,True,['Apr'],25.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0,Possible Placement Issue,College
AP Environmental Science,3.0,4.0,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,,2.0,1.0,1.0,100.0,True Supply Problem,AP
High School World History,9.0,4.0,11.0,-60.0,38.0,252,False,25.0,True,['Apr'],26.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,5.0,6.0,11.0,3.0,14.0,2.0,14.0,On Track (Low Util),High School
AP Macroeconomics,2.0,3.0,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,,3.0,,,,Supply Problem (No Util Data),AP
IB Mathematics: Applications and Interpretation,2.0,3.0,2.0,119.0,-12.0,46,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,,3.0,,,,Supply Problem (No Util Data),IB
IB Chemistry,2.0,3.0,3.0,31.0,-6.0,76,True,23.0,True,['Apr'],24.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,3.0,5.0,7.0,,3.0,1.0,0.0,0.0,Possible Placement Issue,IB
