Subject,Actual_Contracted,Auto_Assignable,Opps_Responded,Assigns
Regents,2,0,1,1
Relational Databases,1,1,0,0
Research Writing,1,0,8,3
SAFe,1,0,7,1
SAT,19,3,96,35
SAT Math,4,3,11,4
SAT Writing and Language,6,2,22,10
SHSAT,2,2,6,4
SQL,4,3,10,5
SSAT,2,2,6,4
SSAT- Elementary Level,2,2,6,4
SSAT- Middle Level,2,2,6,4
SSAT- Upper Level,2,2,6,4
Science,47,44,220,74
Sculpture,3,3,1,1
Social Media Marketing,2,0,7,0
Social Networking,1,0,1,0
Social Sciences,14,9,115,19
Social Studies,12,12,3,1
Spanish,3,2,7,3
Spanish 1,9,1,8,3
Spanish 2,6,0,15,6
Spanish 3,5,0,14,6
Spanish 4,4,0,7,3
Special Education,1,0,1,0
Speech Writing,1,0,8,3
Spelling,1,0,0,0
Spelling Bee,3,0,1,0
"Spelling, Grammar, and Writing Skills Class",2,0,8,3
Statics,1,0,0,0
Statics and Dynamics,1,0,0,0
Statistics,18,3,228,55
Statistics Graduate Level,2,0,0,0
Story Writing,1,0,8,3
Structural Engineering,1,1,0,0
Study Skills,2,2,2,0
Study Skills And Organization,3,2,9,4
TACHS,2,2,6,4
TEFL,1,0,7,1
TExES™,1,1,7,1
TOEFL,1,0,7,1
Tableau,1,1,0,0
Technical Certifications,1,0,7,1
Technical Writing,8,1,1,1
Technology and Coding,17,15,18,9
Test Prep,15,8,37,11
Thesis Writing,1,0,8,3
Trigonometry,12,3,40,6
UK A Level,1,0,0,0
UK A Level English Language,1,0,0,0
UK A Level English Literature,1,0,0,0
UK A Level Philosophy,1,0,0,0
USMLE Step 1,1,0,11,8
Vibe Coding,1,0,0,0
Video Editing,1,0,7,0
Videography,1,0,7,0
Visual Arts,6,4,3,3
Web Advertising,1,0,0,0
Web Analytics,1,0,0,0
Web Design,2,1,0,0
Westlaw Research,1,0,0,0
Women's studies,1,0,7,0
Wordpress,1,0,7,0
Writing,33,29,188,29
Youtube Video Production,1,0,7,0
