Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Median_Goal,Tail_Ratio,IQR_Hours,Wait_State,Primary_Action,Stress_Flags,Problem_Type
ANCC - Family Nurse Practitioner Certification (FNP),1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,10.0,8.0,0.0,0.0,80.0,down,-80.0,0.0,0.0,,,,0.08333,0.08333,0.08333,0.08333,37.083657599999995,Professional/Cert,NICHE,72,12,1.0,0.0,Insufficient_Data,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Enrichment,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,57.0,48.0,0.0,0.0,84.2,down,-84.2,0.0,0.0,,,,50.68333,50.68333,50.68333,50.68333,46.05026083672283,Other,NICHE,72,12,1.0,0.0,Insufficient_Data,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
MCAT Chemical and Physical Foundations of Biological Systems,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,76.0,64.0,75.0,75.0,84.7,down,-9.7,4.0,3.0,2.0,19.0,15.0,0.2,0.65,24.0,25.569996,42.7742342291372,Test Prep,NICHE,72,12,39.34,23.8,Healthy,On Track,['idle_pool'],On Track
HTML,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,139.0,117.0,25.0,25.0,85.9,down,-60.9,4.0,1.0,1.0,1.0,1.0,,,,,44.365635063694256,College,NICHE,72,12,,,Unknown,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Roblox,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,44.0,37.0,100.0,100.0,83.3,up,16.7,2.0,2.0,,,,22.85,22.85,22.85,22.85,31.54586781157997,Technology,NICHE,72,12,1.0,0.0,Insufficient_Data,On Track,['idle_pool'],On Track
Legal Writing,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,59.0,41.0,0.0,0.0,75.9,down,-75.9,5.0,0.0,3.0,2.0,1.0,7.1749975,13.916665,20.6583325,24.703333,48.59836091254753,College,NICHE,72,12,1.78,13.48,Crisis,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
ARDMS - RDMS - Obstetrics and Gynecology (OB/GYN),1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,7.0,5.0,0.0,0.0,71.4,down,-71.4,0.0,0.0,0.0,2.0,2.0,0.3,0.3,0.3,0.3,62.47559128630705,Professional/Cert,NICHE,72,12,1.0,0.0,Insufficient_Data,On Track,['new_tutor_stuck'],On Track
College Political Science,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,95.0,71.0,25.0,25.0,76.9,down,-51.9,4.0,1.0,2.0,11.0,1.0,0.5499975,1.35,6.025,14.62,53.682694900422455,College,NICHE,72,12,10.83,5.48,Healthy,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
ACT Science,4.0,1,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,328.0,280.0,67.0,66.7,85.5,down,-18.9,3.0,2.0,1.0,2.0,0.0,16.6083325,19.25,31.041665,47.946662,48.56535059835822,Test Prep,NICHE,72,12,2.49,14.43,Crisis,On Track,['idle_pool'],On Track
AP Research,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,133.0,106.0,0.0,0.0,83.5,down,-83.5,6.0,0.0,3.0,0.0,0.0,1.86666,4.85833,15.704165,17.27666,49.111252304469275,AP,NICHE,72,12,3.56,13.84,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Microsoft Power BI,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,54.0,44.0,0.0,0.0,84.6,down,-84.6,2.0,0.0,1.0,0.0,0.0,0.249995,0.541665,9.7833325,64.966665,28.633995734126984,Technology,NICHE,72,12,119.94,9.53,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
LSAT Logical Reasoning,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,99.0,77.0,75.0,75.0,77.9,flat,-2.9,4.0,3.0,1.0,21.0,11.0,0.46666,0.46666,4.44166,6.82666,53.564781256599794,Test Prep,NICHE,72,12,14.63,3.97,Healthy,On Track,[],On Track
C#,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,63.0,56.0,0.0,0.0,88.9,down,-88.9,0.0,0.0,,,,,,,,43.19065661411926,Other,NICHE,72,12,,,Unknown,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Aerospace Engineering,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,40.0,32.0,0.0,0.0,82.1,down,-82.1,1.0,0.0,,,,-0.13333,1.68333,36.849995,40.82666,44.67540208333333,College,NICHE,72,12,24.25,36.98,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Astronomy,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,45.0,38.0,0.0,0.0,88.4,down,-88.4,2.0,0.0,,,,18.3916625,71.66666,97.8541625,106.58333,48.208377385159004,Other,NICHE,72,12,1.49,79.46,Crisis,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck']",On Track — High Wait
MATLAB,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,78.0,56.0,0.0,0.0,71.8,down,-71.8,0.0,0.0,,,,2.05,26.03333,41.85,48.909996,42.65145703211517,College,NICHE,72,12,1.88,39.8,Crisis,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Photography,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,56.0,39.0,0.0,0.0,69.6,down,-69.6,0.0,0.0,0.0,7.0,0.0,1.05,1.05,1.05,1.05,49.57199577266322,Arts & Music,NICHE,72,12,1.0,0.0,Insufficient_Data,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
