Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Median_Goal,Tail_Ratio,IQR_Hours,Wait_State,Primary_Action,Stress_Flags,Problem_Type
Middle School Science,60.0,6,72.0,-89.0,375.0,933,False,45.0,True,['Apr'],45.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,,,,,,,,10.0,1506.0,1101.0,47.0,46.9,75.2,down,-28.3,113.0,53.0,32.0,199.0,61.0,6.2,12.98333,24.0,49.09333,44.83615999747179,Middle School,MEDIUM,48,12,3.78,17.8,Crisis,Investigate — Wait Times,['idle_pool'],On Track — High Wait
College Biology,18.0,8,22.0,-54.0,68.0,217,False,58.0,True,['Apr'],57.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,,,,,,,11.0,5.0,544.0,416.0,59.0,59.1,77.2,down,-18.1,22.0,13.0,7.0,133.0,40.0,3.38333,5.83333,17.43333,24.0,42.09434388996406,College,MEDIUM,48,12,4.11,14.05,Healthy,On Track,['idle_pool'],On Track
LSAT,4.0,9,5.0,132.0,-37.0,43,True,65.0,True,['Apr'],61.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,10.0,,,,,,,2.0,22.0,101.0,78.0,100.0,100.0,76.5,up,23.5,3.0,3.0,1.0,60.0,25.0,0.08333,0.23333,0.95,10.46666,49.885626351049574,Test Prep,MEDIUM,48,12,44.86,0.87,Healthy,Investigate — Capacity Available,['idle_pool'],Under-Used
Coding,15.0,6,18.0,-58.0,61.0,239,False,44.0,True,['Apr'],44.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,,,,,,,,6.0,339.0,258.0,55.0,54.5,77.6,down,-23.1,22.0,12.0,2.0,12.0,6.0,0.312495,0.55833,4.71666,18.45833,40.64595831381733,College,MEDIUM,48,12,33.06,4.4,Healthy,On Track,['idle_pool'],On Track
Handwriting,16.0,5,19.0,-68.0,76.0,311,False,36.0,True,['Apr'],36.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,,,,,,,,6.0,244.0,187.0,29.0,28.6,78.1,down,-49.5,7.0,2.0,0.0,19.0,6.0,2.67083,12.11666,12.637495,15.409999,47.029034397702304,Elementary,MEDIUM,48,12,1.27,9.97,Crisis,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Elementary School English,93.0,7,112.0,-93.0,605.0,1415,False,46.0,True,['Apr'],33.0,5.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,,,,,,,,7.0,2905.0,2077.0,38.0,38.3,73.2,down,-34.9,141.0,54.0,22.0,218.0,34.0,0.3,4.21666,11.0333275,24.0,43.48499355014877,Elementary,MEDIUM,48,12,5.69,10.73,Healthy,On Track,['idle_pool'],On Track
AP Physics 1,10.0,5,12.0,-47.0,33.0,189,False,37.0,True,['Apr'],36.0,5.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,,,,,,,5.0,1.0,515.0,432.0,67.0,66.7,84.2,down,-17.5,9.0,6.0,2.0,4.0,2.0,6.71666,15.48333,22.13333,27.03666,44.3124094797058,AP,MEDIUM,48,12,1.75,15.42,Crisis,On Track,['idle_pool'],On Track
AP Calculus BC,5.0,7,6.0,34.0,-12.0,74,True,47.0,True,['Apr'],46.0,5.0,5.0,4.0,4.0,7.0,9.0,12.0,6.0,5.0,4.0,4.0,9.0,10.0,9.0,6.0,,,,,,,4.0,3.0,369.0,316.0,50.0,50.0,86.0,down,-36.0,4.0,2.0,1.0,10.0,1.0,5.716665,14.9,24.01666,40.18333,46.36855363784204,AP,MEDIUM,48,12,2.7,18.3,Crisis,Investigate — Capacity Available,['idle_pool'],Under-Used
AP Human Geography,3.0,5,4.0,81.0,-17.0,55,True,38.0,True,['Apr'],38.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,,,,,,,2.0,2.0,104.0,77.0,33.0,33.3,75.2,down,-41.9,3.0,1.0,0.0,0.0,0.0,1.36666,6.36666,24.0,36.786666,49.17485484037964,AP,MEDIUM,48,12,5.78,22.63,Healthy,Investigate — Capacity Available,['idle_pool'],Under-Used
Spanish 1,19.0,6,23.0,-68.0,90.0,309,False,43.0,True,['Apr'],43.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,,,,,,,14.0,1.0,634.0,485.0,46.0,45.8,77.7,down,-31.9,24.0,11.0,3.0,8.0,3.0,0.4833325,4.28333,16.0,25.459997,43.45073204633204,Language,MEDIUM,48,12,5.94,15.52,Healthy,On Track,['idle_pool'],On Track
Spanish 2,14.0,4,17.0,-68.0,67.0,316,False,31.0,False,,31.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,,,,,,,,5.0,2.0,601.0,466.0,20.0,20.0,78.5,down,-58.5,10.0,2.0,0.0,15.0,6.0,0.291665,1.53333,4.68333,6.933328,42.78183424368104,Language,MEDIUM,48,12,4.52,4.39,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
AP Statistics,7.0,5,8.0,-31.0,15.0,144,False,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,,,,,,,7.0,1.0,386.0,323.0,45.0,45.5,84.8,down,-39.3,11.0,5.0,3.0,144.0,25.0,1.06666,5.85,23.48333,39.21666,49.63263577000069,AP,MEDIUM,48,12,6.7,22.42,Healthy,On Track,['idle_pool'],On Track
AP English Language and Composition,30.0,5,36.0,-83.0,175.0,600,False,35.0,True,['Apr'],35.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,,,,,,,,4.0,562.0,402.0,45.0,45.3,74.3,down,-29.0,53.0,24.0,11.0,171.0,24.0,0.4,1.274995,7.6958275,20.1,45.0266143499775,AP,MEDIUM,48,12,15.76,7.3,Healthy,On Track,['idle_pool'],On Track
Essay Editing,57.0,5,68.0,-91.0,364.0,1140,False,35.0,True,['Apr'],35.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,,,,,,,,4.0,1209.0,895.0,38.0,38.0,76.3,down,-38.2,71.0,27.0,14.0,175.0,29.0,0.3083325,1.099995,8.174995,20.445,41.652006283403146,Other,MEDIUM,48,12,18.59,7.87,Healthy,On Track,['idle_pool'],On Track
AP Physics C: Mechanics,2.0,5,2.0,136.0,-19.0,42,True,33.0,True,['Apr'],33.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,4.0,,,,,,,1.0,4.0,150.0,126.0,0.0,0.0,84.0,down,-84.0,0.0,0.0,0.0,0.0,0.0,7.0541625,18.675,28.9375,65.716665,46.084940224246665,AP,MEDIUM,48,12,3.52,21.88,Crisis,Recruit More,"['idle_pool', 'new_tutor_stuck', 'paper_supply']",True Supply Problem
Calculus 3,3.0,5,4.0,62.0,-13.0,62,True,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,4.0,,,,,,,1.0,3.0,265.0,226.0,50.0,50.0,85.6,down,-35.6,2.0,1.0,1.0,1.0,0.0,2.299995,6.866665,19.8833325,22.884999,47.16891731740928,College,MEDIUM,48,12,3.33,17.58,Healthy,Investigate — Capacity Available,['idle_pool'],Under-Used
AP Computer Science A,8.0,6,10.0,-30.0,17.0,144,False,39.0,True,['Apr'],39.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,3.0,4.0,8.0,8.0,8.0,4.0,,,,,,,,4.0,204.0,165.0,29.0,28.6,82.7,down,-54.2,7.0,2.0,1.0,8.0,1.0,1.4,5.066665,20.7666625,27.206661,41.48421269166821,AP,MEDIUM,48,12,5.37,19.37,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
IB Mathematics: Analysis and Approaches,1.0,6,1.0,500.0,-35.0,17,True,42.0,True,['Apr'],42.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,4.0,4.0,6.0,4.0,8.0,8.0,8.0,4.0,,,,,,,0.0,1.0,139.0,115.0,0.0,0.0,83.3,down,-83.3,1.0,0.0,1.0,0.0,0.0,3.299995,9.2,15.85833,49.976664,51.80619530942654,IB,MEDIUM,48,12,5.43,12.56,Tail_Risk,Recruit More,"['new_tutor_stuck', 'paper_supply']",True Supply Problem
Adobe Illustrator,10.0,3,12.0,-69.0,48.0,318,False,22.0,True,['Apr'],25.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,,,,,,,,4.0,96.0,72.0,67.0,66.7,75.6,down,-8.9,6.0,4.0,2.0,1.0,1.0,0.2,0.38333,1.0416625,6.876662,35.938518560606056,Arts & Music,LOW,60,12,17.94,0.84,Healthy,On Track,['idle_pool'],On Track
SAT Math,14.0,2,17.0,-85.0,83.0,653,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,15.0,4.0,736.0,614.0,72.0,71.9,83.9,down,-12.1,32.0,23.0,5.0,13.0,5.0,4.416665,12.78333,22.049995,27.24,46.59613579199705,Test Prep,LOW,60,12,2.13,17.63,Crisis,On Track,['idle_pool'],On Track
Study Skills And Organization,17.0,4,20.0,-77.0,92.0,441,False,27.0,True,['Apr'],21.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,,,,,,,3.0,2.0,971.0,778.0,50.0,50.0,80.6,down,-30.6,14.0,7.0,2.0,9.0,4.0,1.78333,5.06666,13.79166,24.0,48.17285428248412,Other,LOW,60,12,4.74,12.01,Healthy,On Track,['idle_pool'],On Track
Calculus 2,11.0,5,13.0,-57.0,44.0,233,False,33.0,True,['Apr'],31.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,,,,,,,5.0,1.0,512.0,427.0,50.0,50.0,83.9,down,-33.9,8.0,4.0,2.0,105.0,20.0,4.079165,6.18333,14.28333,23.898333,44.654634372130396,College,MEDIUM,48,12,3.86,10.2,Healthy,On Track,['idle_pool'],On Track
Public Speaking,26.0,3,31.0,-89.0,162.0,910,False,20.0,True,['Apr'],14.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,,,,,,,,8.0,710.0,545.0,47.0,47.1,77.5,down,-30.4,17.0,8.0,2.0,3.0,0.0,0.9208275,4.516665,12.725,23.429994,45.9201185452917,College,LOW,60,12,5.19,11.8,Healthy,On Track,['idle_pool'],On Track
Trigonometry,24.0,3,29.0,-86.0,145.0,730,False,23.0,True,['Apr'],22.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,,,,,,,,4.0,871.0,701.0,61.0,61.3,81.2,down,-19.9,31.0,19.0,5.0,46.0,9.0,2.88333,6.23333,19.4666625,28.456661,44.80908517691144,High School,LOW,60,12,4.57,16.58,Healthy,On Track,['idle_pool'],On Track
Nursing,12.0,3,14.0,-75.0,63.0,400,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,4.0,144.0,100.0,36.0,35.7,73.1,down,-37.4,14.0,5.0,2.0,0.0,0.0,0.58333,2.7,8.53333,23.763328,44.735674569789666,Professional/Cert,LOW,60,12,8.8,7.95,Healthy,On Track,['idle_pool'],On Track
College English,33.0,4,40.0,-88.0,204.0,856,False,27.0,False,,27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,,,,,,,,,4.0,943.0,690.0,42.0,42.2,75.4,down,-33.2,64.0,27.0,13.0,147.0,17.0,0.1,0.18333,0.56666,15.215,45.31833875147789,College,LOW,60,12,82.99,0.47,Healthy,On Track,['idle_pool'],On Track
Finance,6.0,3,7.0,-50.0,21.0,200,False,21.0,True,['Apr'],21.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,,,,,,,6.0,1.0,140.0,106.0,12.0,12.5,79.5,down,-67.0,8.0,1.0,,,,0.20833,1.65,15.6,27.25,49.28380346211741,College,LOW,60,12,16.52,15.39,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Biochemistry,7.0,3,8.0,-57.0,28.0,233,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,4.0,243.0,185.0,50.0,50.0,76.6,down,-26.6,4.0,2.0,3.0,53.0,26.0,4.81666,5.58333,24.0,26.3,43.73601081448911,College,LOW,60,12,4.71,19.18,Healthy,On Track,['idle_pool'],On Track
College Economics,5.0,4,6.0,-17.0,6.0,121,False,29.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,,,,,,,2.0,3.0,179.0,144.0,67.0,66.7,80.9,down,-14.3,6.0,4.0,0.0,0.0,0.0,1.88333,10.05,39.98333,52.98333,48.575476855123675,College,LOW,60,12,5.27,38.1,Healthy,On Track,['idle_pool'],On Track
Autocad,2.0,2,2.0,7.0,-1.0,93,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,2.0,1.0,69.0,51.0,100.0,100.0,73.1,up,26.9,2.0,2.0,0.0,0.0,0.0,1.8499975,7.875,26.77916,86.381662,33.19494271794871,Technology,LOW,60,12,10.97,24.93,Tail_Risk,Investigate — Wait Times,['idle_pool'],On Track — High Wait
AP Pre-Calculus,8.0,37,10.0,362.0,-203.0,22,True,259.0,True,['Apr'],265.0,31.0,33.0,34.0,37.0,41.0,44.0,45.0,25.0,34.0,36.0,34.0,43.0,44.0,43.0,25.0,,,,,,,9.0,19.0,508.0,437.0,73.0,73.3,86.4,down,-13.1,15.0,11.0,3.0,149.0,33.0,2.8,6.98333,20.84166,35.539997,47.13897651943785,AP,CORE,24,12,5.09,18.04,Tail_Risk,Recruit More,"['idle_pool', 'paper_supply']",True Supply Problem
Managerial Accounting,5.0,4,6.0,-23.0,8.0,130,False,27.0,True,['Apr'],26.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,,,,,,,0.0,3.0,122.0,99.0,25.0,25.0,83.1,down,-58.1,4.0,1.0,,,,0.93333,2.4,7.5833325,22.588331,49.57907755219307,College,LOW,60,12,9.41,6.65,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Macroeconomics,5.0,3,6.0,-31.0,11.0,146,False,24.0,True,['Apr'],25.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,,,,,,,1.0,2.0,118.0,91.0,100.0,100.0,76.9,up,23.1,1.0,1.0,0.0,1.0,1.0,0.36666,3.93333,19.07083,23.114994,48.34705473587294,College,LOW,60,12,5.88,18.7,Healthy,On Track,['idle_pool'],On Track
AP Environmental Science,4.0,4,5.0,-4.0,1.0,104,False,27.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,,,,,,,0.0,4.0,120.0,93.0,50.0,50.0,78.4,down,-28.4,4.0,2.0,3.0,9.0,3.0,0.5,1.74166,20.7374975,27.569994,45.16605348200312,AP,LOW,60,12,15.83,20.24,Healthy,On Track,['idle_pool'],On Track
High School World History,13.0,4,16.0,-73.0,66.0,364,False,25.0,True,['Apr'],26.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,,,,,,,,3.0,311.0,228.0,33.0,33.3,75.3,down,-42.0,15.0,5.0,2.0,10.0,4.0,0.30416,0.424995,4.91666,13.30833,46.45556094737706,High School,LOW,60,12,31.31,4.61,Healthy,On Track,['idle_pool'],On Track
AP Macroeconomics,2.0,3,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,99.0,82.0,0.0,0.0,82.8,down,-82.8,0.0,0.0,0.0,1.0,0.0,1.5666625,4.85833,20.1874975,38.15833,47.786766218727664,AP,LOW,60,12,7.85,18.62,Healthy,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
IB Mathematics: Applications and Interpretation,1.0,3,1.0,229.0,-16.0,30,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,120.0,101.0,0.0,0.0,84.2,down,-84.2,0.0,0.0,0.0,7.0,3.0,0.8,4.466665,24.4333325,44.15,54.08675888387361,IB,LOW,60,12,9.88,23.63,Healthy,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
IB Chemistry,2.0,3,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],24.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,,,,,,,0.0,1.0,112.0,89.0,0.0,0.0,80.2,down,-80.2,1.0,0.0,0.0,20.0,10.0,0.74583,1.33333,6.3125,11.35,46.854804338896024,IB,LOW,60,12,8.51,5.57,Healthy,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Digital Media,13.0,3,16.0,-74.0,67.0,379,False,24.0,True,['Apr'],24.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,,,,,,,,3.0,93.0,71.0,40.0,40.0,78.4,down,-38.4,5.0,2.0,1.0,8.0,1.0,0.18333,1.53333,16.6,25.26666,44.03350555401277,Arts & Music,LOW,60,12,16.48,16.42,Healthy,On Track,['idle_pool'],On Track
Artificial Intelligence (AI),4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,1.0,84.0,73.0,50.0,50.0,87.8,down,-37.8,2.0,1.0,0.0,11.0,6.0,1.00833,5.26666,32.84166,74.596662,32.8878995643756,College,LOW,60,12,14.16,31.83,Tail_Risk,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Management,2.0,3,2.0,57.0,-8.0,64,True,22.0,False,,22.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,,,,,,,,0.0,1.0,162.0,125.0,33.0,33.3,78.0,down,-44.7,3.0,1.0,2.0,7.0,2.0,0.01666,0.26666,1.05,2.51666,42.453876015857276,College,LOW,60,12,9.44,1.03,Healthy,Investigate — Capacity Available,['idle_pool'],Under-Used
Viral Content Creation,1.0,4,1.0,286.0,-20.0,26,True,27.0,True,['Apr'],27.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,21.0,18.0,0.0,0.0,85.7,down,-85.7,0.0,0.0,,,,,,,,32.837470890410955,Other,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Social Networking,1.0,4,1.0,271.0,-19.0,27,True,26.0,True,['Apr'],26.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,,,,,,,0.0,1.0,63.0,50.0,0.0,0.0,79.4,down,-79.4,0.0,0.0,0.0,1.0,0.0,0.0,1.35,1.35,1.44,36.84699124737945,Technology,LOW,60,12,1.07,1.35,Healthy,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Middle School English,82.0,2,98.0,-98.0,561.0,4415,False,13.0,True,['Apr'],6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,,,,,,,,9.0,2338.0,1704.0,41.0,41.0,74.6,down,-33.7,122.0,50.0,18.0,185.0,29.0,0.0,0.76666,5.84166,24.0,43.590060881492306,Middle School,LOW,60,12,31.3,5.84,Healthy,On Track,['idle_pool'],On Track
MCAT,5.0,3,6.0,-49.0,17.0,194,False,18.0,True,['Apr'],18.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,,,2.0,3.0,135.0,111.0,80.0,80.0,82.3,flat,-2.3,5.0,4.0,3.0,18.0,14.0,0.462495,1.9,6.64166,19.95833,44.0252598923445,Test Prep,LOW,60,12,10.5,6.18,Healthy,On Track,['idle_pool'],On Track
ESL/ELL,24.0,3,29.0,-89.0,149.0,884,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,,,,,,,,14.0,1.0,882.0,641.0,21.0,21.4,74.4,down,-52.9,28.0,6.0,6.0,15.0,8.0,0.31666,0.41666,4.61666,5.329996,45.01211006570542,Language,LOW,60,12,12.79,4.3,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Python,12.0,2,14.0,-83.0,70.0,600,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,3.0,475.0,380.0,62.0,62.5,80.3,down,-17.8,8.0,5.0,1.0,11.0,6.0,0.38333,2.41666,6.55,15.29666,39.44705311420496,College,LOW,60,12,6.33,6.17,Healthy,On Track,['idle_pool'],On Track
Anatomy & Physiology,21.0,2,25.0,-92.0,135.0,1225,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,4.0,452.0,323.0,37.0,36.7,73.9,down,-37.3,30.0,11.0,7.0,26.0,21.0,4.82083,6.53333,12.641665,21.666661,42.07149523575638,College,LOW,60,12,3.32,7.82,Healthy,On Track,['idle_pool'],On Track
Kindergarten Readiness,14.0,3,17.0,-82.0,80.0,544,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,3.0,284.0,211.0,28.0,27.8,77.4,down,-49.7,18.0,5.0,4.0,2.0,1.0,0.33333,2.75,5.4,19.093332,45.64300454948301,Elementary,LOW,60,12,6.94,5.07,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Microsoft Excel,13.0,3,16.0,-77.0,70.0,433,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,,,,,,,6.0,1.0,409.0,312.0,31.0,30.8,77.8,down,-47.0,13.0,4.0,4.0,4.0,1.0,0.1166625,0.45833,2.95416,10.91666,41.75072643054047,Technology,LOW,60,12,23.82,2.84,Healthy,On Track,['idle_pool'],On Track
HSPT,6.0,4,7.0,-31.0,13.0,145,False,29.0,False,,29.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,,,,,,,,9.0,3.0,186.0,150.0,79.0,79.2,80.9,flat,-1.7,24.0,19.0,4.0,14.0,8.0,2.95833,5.16666,8.5,12.47,56.9974208652793,Test Prep,LOW,60,12,2.41,5.54,Healthy,On Track,[],On Track
AP US History,10.0,3,12.0,-71.0,50.0,350,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,,,,,,,5.0,1.0,284.0,194.0,38.0,37.5,69.2,down,-31.7,8.0,3.0,2.0,3.0,3.0,0.31666,0.83333,5.31666,14.04333,46.6372486199196,AP,LOW,60,12,16.85,5.0,Healthy,On Track,['idle_pool'],On Track
Chess,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,95.0,80.0,0.0,0.0,85.1,down,-85.1,1.0,0.0,,,,0.6208275,2.18333,30.7333275,61.211661,43.25195649458784,Other,LOW,60,12,28.04,30.11,Tail_Risk,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck']",On Track — High Wait
Spanish 3,13.0,3,16.0,-80.0,73.0,506,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,,3.0,2.0,536.0,418.0,14.0,14.3,78.8,down,-64.5,7.0,1.0,0.0,14.0,6.0,0.274995,0.6,6.46666,10.103328,43.4029542632191,Language,LOW,60,12,16.84,6.19,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
High School Reading,39.0,3,47.0,-93.0,254.0,1437,False,19.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,,,,,,,,2.0,952.0,721.0,37.0,37.1,77.2,down,-40.1,35.0,13.0,1.0,24.0,6.0,3.6,7.35,13.774995,25.6,43.89777889458113,High School,LOW,60,12,3.48,10.17,Healthy,On Track,['idle_pool'],On Track
