Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Problem_Type,Category
Macroeconomics,2.0,3.0,2.0,71.0,-10.0,58,True,24.0,True,['Apr'],25.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,332.0,152.0,46.0,Possible Placement Issue,College
AP Environmental Science,3.0,4.0,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,0.0,4.0,322.0,137.0,43.0,Possible Placement Issue,AP
High School World History,9.0,4.0,11.0,-60.0,38.0,252,False,25.0,True,['Apr'],26.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,5.0,6.0,,3.0,705.0,301.0,43.0,On Track (Low Util),High School
AP Macroeconomics,1.0,3.0,1.0,229.0,-16.0,30,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,0.0,1.0,209.0,119.0,57.0,True Supply Problem,AP
IB Mathematics: Applications and Interpretation,1.0,3.0,1.0,229.0,-16.0,30,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,0.0,1.0,548.0,239.0,44.0,Possible Placement Issue,IB
IB Chemistry,2.0,3.0,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],24.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,0.0,1.0,508.0,240.0,47.0,Possible Placement Issue,IB
Digital Media,11.0,3.0,13.0,-69.0,53.0,321,False,24.0,True,['Apr'],24.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,,3.0,347.0,137.0,39.0,On Track (Low Util),Arts & Music
Artificial Intelligence (AI),4.0,3.0,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,312.0,170.0,54.0,On Track,College
Management,1.0,3.0,1.0,214.0,-15.0,32,True,22.0,False,,22.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,0.0,1.0,805.0,315.0,39.0,Possible Placement Issue,College
Social Networking,1.0,4.0,1.0,271.0,-19.0,27,True,26.0,True,['Apr'],26.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,0.0,1.0,200.0,93.0,46.0,Possible Placement Issue,Technology
Middle School English,86.0,2.0,103.0,-98.0,589.0,4631,False,13.0,True,['Apr'],6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,,9.0,8094.0,2863.0,35.0,On Track (Low Util),Middle School
MCAT,4.0,3.0,5.0,-36.0,10.0,156,False,18.0,True,['Apr'],18.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,303.0,192.0,63.0,On Track,Test Prep
ESL/ELL,19.0,3.0,23.0,-86.0,114.0,700,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,14.0,1.0,3472.0,1169.0,34.0,On Track (Low Util),Language
Python,7.0,2.0,8.0,-71.0,35.0,350,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,,3.0,1388.0,643.0,46.0,On Track (Low Util),College
Anatomy & Physiology,19.0,2.0,23.0,-91.0,121.0,1108,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,4.0,1145.0,491.0,43.0,On Track (Low Util),College
Kindergarten Readiness,14.0,3.0,17.0,-82.0,80.0,544,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,,3.0,909.0,360.0,40.0,On Track (Low Util),Elementary
Microsoft Excel,10.0,3.0,12.0,-70.0,49.0,333,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,6.0,1.0,1222.0,501.0,41.0,On Track (Low Util),Technology
HSPT,5.0,4.0,6.0,-17.0,6.0,121,False,29.0,False,,29.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,9.0,3.0,115.0,88.0,77.0,On Track,Test Prep
AP US History,5.0,3.0,6.0,-43.0,15.0,175,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,874.0,298.0,34.0,On Track (Low Util),AP
Chess,2.0,2.0,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,279.0,132.0,47.0,On Track (Low Util),Other
Spanish 3,8.0,3.0,10.0,-68.0,38.0,311,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1710.0,653.0,38.0,On Track (Low Util),Language
High School Reading,39.0,3.0,47.0,-93.0,254.0,1437,False,19.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,,2.0,4043.0,1508.0,37.0,On Track (Low Util),High School
ASVAB,1.0,3.0,1.0,171.0,-12.0,37,True,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,2.0,1.0,4.0,5.0,4.0,0.0,3.0,136.0,71.0,52.0,True Supply Problem,Test Prep
Piano,5.0,2.0,6.0,-66.0,23.0,292,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,613.0,210.0,34.0,On Track (Low Util),Arts & Music
AP World History,5.0,2.0,6.0,-51.0,18.0,206,False,17.0,True,['Apr'],16.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,2.0,719.0,264.0,37.0,On Track (Low Util),AP
Microeconomics,2.0,2.0,2.0,-14.0,2.0,117,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,361.0,174.0,48.0,On Track (Low Util),College
French 2,3.0,3.0,4.0,-14.0,3.0,117,False,18.0,False,,18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,849.0,273.0,32.0,On Track (Low Util),Language
Linear Algebra,5.0,2.0,6.0,-51.0,18.0,206,False,17.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,694.0,384.0,55.0,On Track,College
Psychology,16.0,2.0,19.0,-88.0,98.0,800,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,1052.0,426.0,40.0,On Track (Low Util),College
English Grammar and Syntax,54.0,3.0,65.0,-95.0,360.0,2100,False,18.0,True,['Apr'],19.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,,2.0,5762.0,1925.0,33.0,On Track (Low Util),High School
Competition Math,3.0,3.0,4.0,-14.0,3.0,117,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,,2.0,737.0,324.0,44.0,On Track (Low Util),High School
Mechanical Engineering,3.0,3.0,4.0,0.0,0.0,100,False,21.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,5.0,496.0,215.0,43.0,On Track (Low Util),College
AP English Literature and Composition,10.0,3.0,12.0,-74.0,52.0,389,False,18.0,False,,18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,1.0,684.0,226.0,33.0,On Track (Low Util),AP
Physics 2,2.0,3.0,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,580.0,280.0,48.0,Possible Placement Issue,College
College and University Admissions,18.0,2.0,22.0,-89.0,112.0,900,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,1215.0,573.0,47.0,On Track (Low Util),College
AP Microeconomics,4.0,3.0,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,2.0,2.0,1.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,4.0,6.0,4.0,,2.0,253.0,137.0,54.0,On Track,AP
C++,2.0,2.0,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,467.0,225.0,48.0,On Track (Low Util),College
Pharmacology,8.0,2.0,10.0,-75.0,42.0,400,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,425.0,208.0,49.0,On Track (Low Util),College
French 3,2.0,3.0,2.0,71.0,-10.0,58,True,24.0,False,,24.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,1.0,1.0,686.0,222.0,32.0,Possible Placement Issue,Language
Math 2,2.0,4.0,2.0,93.0,-13.0,52,True,27.0,True,['Apr'],26.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,,2.0,1120.0,584.0,52.0,True Supply Problem,High School
Multivariable Calculus,1.0,3.0,1.0,171.0,-12.0,37,True,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,0.0,2.0,338.0,210.0,62.0,True Supply Problem,College
JavaScript,3.0,2.0,4.0,-33.0,7.0,150,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,501.0,220.0,44.0,On Track (Low Util),College
AP Computer Science Principles,3.0,2.0,4.0,-24.0,5.0,131,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,792.0,394.0,50.0,On Track (Low Util),AP
Corporate Finance,1.0,2.0,1.0,143.0,-10.0,41,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,339.0,158.0,47.0,Possible Placement Issue,College
Vietnamese,1.0,4.0,1.0,257.0,-18.0,28,True,25.0,False,,25.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,6.0,4.0,0.0,1.0,39.0,18.0,46.0,Possible Placement Issue,Language
Cyber Security,6.0,2.0,7.0,-67.0,28.0,300,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,349.0,134.0,38.0,On Track (Low Util),College
BCABA,2.0,2.0,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,24.0,13.0,54.0,On Track,Professional/Cert
IB Biology,3.0,2.0,4.0,-33.0,7.0,150,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,587.0,264.0,45.0,On Track (Low Util),IB
Electrical and Computer Engineering,1.0,2.0,1.0,143.0,-10.0,41,True,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,220.0,100.0,45.0,Possible Placement Issue,College
