Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Problem_Type,Category
Calculus 3,2.0,5.0,2.0,143.0,-20.0,41,True,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,3.0,577.0,326.0,56.0,True Supply Problem,College
AP Computer Science A,7.0,6.0,8.0,-20.0,10.0,126,False,39.0,True,['Apr'],39.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,3.0,4.0,8.0,8.0,8.0,,4.0,465.0,260.0,56.0,On Track,AP
IB Mathematics: Analysis and Approaches,1.0,6.0,1.0,500.0,-35.0,17,True,42.0,True,['Apr'],42.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,4.0,4.0,6.0,4.0,8.0,8.0,8.0,0.0,1.0,596.0,251.0,42.0,Possible Placement Issue,IB
Adobe Illustrator,8.0,3.0,10.0,-61.0,34.0,255,False,22.0,True,['Apr'],25.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,,4.0,395.0,128.0,32.0,On Track (Low Util),Arts & Music
SAT Math,13.0,2.0,16.0,-84.0,76.0,607,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,4.0,1313.0,819.0,62.0,On Track,Test Prep
Study Skills And Organization,15.0,4.0,18.0,-74.0,78.0,389,False,27.0,True,['Apr'],21.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,5.0,6.0,3.0,2.0,2803.0,1139.0,41.0,On Track (Low Util),Other
Calculus 2,7.0,5.0,8.0,-33.0,16.0,148,False,33.0,True,['Apr'],31.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,3.0,3.0,3.0,6.0,7.0,6.0,5.0,1.0,1108.0,611.0,55.0,On Track,College
Public Speaking,23.0,3.0,28.0,-88.0,141.0,805,False,20.0,True,['Apr'],14.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,1.0,4.0,6.0,,8.0,3847.0,1379.0,36.0,On Track (Low Util),College
Trigonometry,21.0,3.0,25.0,-84.0,124.0,639,False,23.0,True,['Apr'],22.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,,4.0,1524.0,874.0,57.0,On Track,High School
Nursing,10.0,3.0,12.0,-70.0,49.0,333,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,640.0,217.0,34.0,On Track (Low Util),Professional/Cert
College English,31.0,4.0,37.0,-88.0,190.0,804,False,27.0,False,,27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,,4.0,3427.0,1198.0,35.0,On Track (Low Util),College
Finance,5.0,3.0,6.0,-40.0,14.0,167,False,21.0,True,['Apr'],21.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,1.0,371.0,175.0,47.0,On Track (Low Util),College
Biochemistry,6.0,3.0,7.0,-50.0,21.0,200,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,531.0,253.0,48.0,On Track (Low Util),College
College Economics,3.0,4.0,4.0,38.0,-8.0,72,True,29.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,3.0,421.0,199.0,47.0,Possible Placement Issue,College
Autocad,2.0,2.0,2.0,7.0,-1.0,93,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,241.0,111.0,46.0,On Track (Low Util),Arts & Music
AP Pre-Calculus,6.0,37.0,7.0,517.0,-217.0,16,True,259.0,True,['Apr'],265.0,31.0,33.0,34.0,37.0,41.0,44.0,45.0,25.0,34.0,36.0,34.0,43.0,44.0,43.0,9.0,19.0,660.0,492.0,75.0,True Supply Problem,AP
Managerial Accounting,3.0,4.0,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],26.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,6.0,4.0,0.0,3.0,461.0,190.0,41.0,Possible Placement Issue,College
