Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category
Web Development,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,96.0,82.0,100.0,100.0,85.3,up,14.7,1.0,1.0,On Track,College
Logic,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,82.0,62.0,76.0,,75.6,,,0.0,0.0,On Track,College
Physics 11,1.0,2.0,1.0,86.0,-6.0,54,True,13.0,False,,13.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,1.0,105.0,90.0,86.0,,85.7,,,0.0,0.0,True Supply Problem,Other
Web Design,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,107.0,89.0,100.0,100.0,83.0,up,17.0,1.0,1.0,On Track,College
Molecular Biology,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,214.0,181.0,85.0,,84.6,,,0.0,0.0,On Track,College
Personal Finance,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,147.0,121.0,82.0,,82.3,,,0.0,0.0,On Track,College
Chemical Engineering,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,43.0,38.0,88.0,,88.4,,,0.0,0.0,On Track,College
Photoshop,7.0,1.0,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,99.0,71.0,25.0,25.0,73.7,down,-48.7,4.0,1.0,On Track (Low Util),Arts & Music
Fluid Mechanics,1.0,1.0,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,71.0,60.0,0.0,0.0,87.0,down,-87.0,2.0,0.0,On Track (Low Util),College
Minecraft,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,69.0,63.0,100.0,100.0,91.2,up,8.8,1.0,1.0,On Track,Technology
Econometrics,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,44.0,36.0,0.0,0.0,83.7,down,-83.7,1.0,0.0,On Track (Low Util),College
PSAT Mathematics,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,517.0,447.0,100.0,100.0,86.4,up,13.6,1.0,1.0,On Track,Test Prep
ANCC - Family Nurse Practitioner Certification (FNP),1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,7.0,6.0,86.0,,85.7,,,0.0,0.0,On Track,Professional/Cert
Enrichment,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,57.0,48.0,84.0,,84.2,,,0.0,0.0,On Track,Other
