Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category,Tier
IB Mathematics: Analysis and Approaches,1.0,6.0,1.0,500.0,-35.0,17,True,42.0,True,['Apr'],42.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,4.0,4.0,6.0,4.0,8.0,8.0,8.0,4.0,,,,,,,0.0,1.0,138.0,115.0,83.0,,83.3,,,0.0,0.0,True Supply Problem,IB,MEDIUM
Adobe Illustrator,10.0,3.0,12.0,-69.0,48.0,318,False,22.0,True,['Apr'],25.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,,,,,,,,4.0,96.0,73.0,83.0,83.3,75.6,up,7.8,6.0,5.0,On Track,Arts & Music,LOW
SAT Math,14.0,2.0,17.0,-85.0,83.0,653,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,15.0,4.0,730.0,610.0,76.0,75.9,83.9,down,-8.0,29.0,22.0,On Track,Test Prep,LOW
Study Skills And Organization,17.0,4.0,20.0,-77.0,92.0,441,False,27.0,True,['Apr'],21.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,,,,,,,3.0,2.0,967.0,775.0,43.0,42.9,80.7,down,-37.8,14.0,6.0,Over-Supplied,Other,LOW
Calculus 2,11.0,5.0,13.0,-57.0,44.0,233,False,33.0,True,['Apr'],31.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,,,,,,,5.0,1.0,503.0,422.0,57.0,57.1,84.3,down,-27.1,7.0,4.0,On Track,College,MEDIUM
Public Speaking,26.0,3.0,31.0,-89.0,162.0,910,False,20.0,True,['Apr'],14.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,,,,,,,,8.0,708.0,545.0,47.0,47.1,77.7,down,-30.7,17.0,8.0,Over-Supplied,College,LOW
Trigonometry,24.0,3.0,29.0,-86.0,145.0,730,False,23.0,True,['Apr'],22.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,,,,,,,,4.0,860.0,696.0,68.0,67.9,81.4,down,-13.5,28.0,19.0,On Track,High School,LOW
Nursing,12.0,3.0,14.0,-75.0,63.0,400,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,4.0,142.0,100.0,43.0,42.9,73.4,down,-30.6,14.0,6.0,Over-Supplied,Professional/Cert,LOW
College English,33.0,4.0,40.0,-88.0,204.0,856,False,27.0,False,,27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,,,,,,,,,4.0,933.0,690.0,45.0,45.2,76.0,down,-30.8,62.0,28.0,Over-Supplied,College,LOW
Finance,6.0,3.0,7.0,-50.0,21.0,200,False,21.0,True,['Apr'],21.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,,,,,,,6.0,1.0,139.0,105.0,14.0,14.3,78.8,down,-64.5,7.0,1.0,Over-Supplied,College,LOW
Biochemistry,8.0,3.0,10.0,-62.0,35.0,267,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,4.0,239.0,182.0,50.0,50.0,76.4,down,-26.4,2.0,1.0,On Track,College,LOW
College Economics,5.0,4.0,6.0,-17.0,6.0,121,False,29.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,,,,,,,2.0,3.0,177.0,143.0,67.0,66.7,81.3,down,-14.6,6.0,4.0,On Track,College,LOW
Autocad,2.0,2.0,2.0,7.0,-1.0,93,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,2.0,1.0,68.0,50.0,100.0,100.0,72.7,up,27.3,2.0,2.0,On Track,Technology,LOW
AP Pre-Calculus,8.0,37.0,10.0,362.0,-203.0,22,True,259.0,True,['Apr'],265.0,31.0,33.0,34.0,37.0,41.0,44.0,45.0,25.0,34.0,36.0,34.0,43.0,44.0,43.0,25.0,,,,,,,9.0,19.0,502.0,433.0,71.0,71.4,86.7,down,-15.3,14.0,10.0,True Supply Problem,AP,CORE
Managerial Accounting,5.0,4.0,6.0,-23.0,8.0,130,False,27.0,True,['Apr'],26.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,,,,,,,0.0,3.0,120.0,99.0,33.0,33.3,83.8,down,-50.4,3.0,1.0,Over-Supplied,College,LOW
Macroeconomics,5.0,3.0,6.0,-31.0,11.0,146,False,24.0,True,['Apr'],25.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,,,,,,,1.0,2.0,116.0,90.0,100.0,100.0,77.4,up,22.6,1.0,1.0,On Track,College,LOW
AP Environmental Science,4.0,4.0,5.0,-4.0,1.0,104,False,27.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,,,,,,,0.0,4.0,119.0,92.0,50.0,50.0,77.8,down,-27.8,2.0,1.0,On Track,AP,LOW
High School World History,13.0,4.0,16.0,-73.0,66.0,364,False,25.0,True,['Apr'],26.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,,,,,,,,3.0,305.0,220.0,36.0,35.7,73.9,down,-38.2,14.0,5.0,Over-Supplied,High School,LOW
AP Macroeconomics,2.0,3.0,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,98.0,82.0,84.0,,83.7,,,0.0,0.0,True Supply Problem,AP,LOW
IB Mathematics: Applications and Interpretation,1.0,3.0,1.0,229.0,-16.0,30,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,120.0,102.0,85.0,,85.0,,,0.0,0.0,True Supply Problem,IB,LOW
IB Chemistry,2.0,3.0,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],24.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,,,,,,,0.0,1.0,112.0,89.0,0.0,0.0,80.2,down,-80.2,1.0,0.0,Under-Used,IB,LOW
Digital Media,13.0,3.0,16.0,-74.0,67.0,379,False,24.0,True,['Apr'],24.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,,,,,,,,3.0,93.0,72.0,60.0,60.0,78.4,down,-18.4,5.0,3.0,On Track,Arts & Music,LOW
Artificial Intelligence (AI),4.0,3.0,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,1.0,84.0,73.0,50.0,50.0,87.8,down,-37.8,2.0,1.0,On Track,College,LOW
Management,2.0,3.0,2.0,57.0,-8.0,64,True,22.0,False,,22.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,,,,,,,,0.0,1.0,161.0,125.0,33.0,33.3,78.5,down,-45.1,3.0,1.0,Under-Used,College,LOW
Viral Content Creation,1.0,4.0,1.0,286.0,-20.0,26,True,27.0,True,['Apr'],27.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,21.0,18.0,86.0,,85.7,,,0.0,0.0,True Supply Problem,Other,LOW
Social Networking,1.0,4.0,1.0,271.0,-19.0,27,True,26.0,True,['Apr'],26.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,,,,,,,0.0,1.0,63.0,51.0,81.0,,81.0,,,0.0,0.0,True Supply Problem,Technology,LOW
Middle School English,82.0,2.0,98.0,-98.0,561.0,4415,False,13.0,True,['Apr'],6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,,,,,,,,9.0,2325.0,1696.0,41.0,41.0,74.7,down,-33.7,122.0,50.0,Over-Supplied,Middle School,LOW
MCAT,5.0,3.0,6.0,-49.0,17.0,194,False,18.0,True,['Apr'],18.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,,,2.0,3.0,134.0,110.0,80.0,80.0,82.2,flat,-2.2,5.0,4.0,On Track,Test Prep,LOW
ESL/ELL,23.0,3.0,28.0,-88.0,142.0,847,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,,,,,,,,14.0,1.0,872.0,638.0,23.0,23.1,74.7,down,-51.6,26.0,6.0,Over-Supplied,Language,LOW
Python,12.0,2.0,14.0,-83.0,70.0,600,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,3.0,471.0,376.0,62.0,62.5,80.1,down,-17.6,8.0,5.0,On Track,College,LOW
Anatomy & Physiology,20.0,2.0,24.0,-91.0,128.0,1167,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,4.0,446.0,323.0,44.0,44.0,74.1,down,-30.1,25.0,11.0,Over-Supplied,College,LOW
Kindergarten Readiness,14.0,3.0,17.0,-82.0,80.0,544,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,3.0,280.0,210.0,21.0,21.4,77.8,down,-56.4,14.0,3.0,Over-Supplied,Elementary,LOW
Microsoft Excel,13.0,3.0,16.0,-77.0,70.0,433,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,,,,,,,6.0,1.0,405.0,310.0,33.0,33.3,77.9,down,-44.5,12.0,4.0,Over-Supplied,Technology,LOW
