Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,P90_NAT_Hours,Problem_Type,Category,Tier
High School Reading,39.0,3,47.0,-93.0,254.0,1437,False,19.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,,,,,,,,2.0,953.0,719.0,36.0,36.1,77.0,down,-40.9,36.0,13.0,16.43666,Over-Supplied,High School,LOW
ASVAB,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,,,,,,,0.0,3.0,64.0,51.0,0.0,0.0,81.0,down,-81.0,1.0,0.0,20.02166,Under-Used,Test Prep,LOW
Piano,6.0,2,7.0,-71.0,30.0,350,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,167.0,117.0,0.0,0.0,71.8,down,-71.8,4.0,0.0,46.7,Under-Used,Arts & Music,LOW
AP World History,8.0,2,10.0,-70.0,39.0,329,False,17.0,True,['Apr'],16.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,,,,,,,3.0,2.0,258.0,185.0,100.0,100.0,71.1,up,28.9,5.0,5.0,28.506662,On Track,AP,LOW
Microeconomics,4.0,2,5.0,-57.0,16.0,233,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,1.0,2.0,162.0,125.0,67.0,66.7,77.4,down,-10.7,3.0,2.0,47.41666,On Track,College,LOW
French 2,5.0,3,6.0,-49.0,17.0,194,False,18.0,False,,18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,,,,,,,,1.0,1.0,188.0,147.0,33.0,33.3,78.9,down,-45.6,3.0,1.0,5.94333,Over-Supplied,Language,LOW
Linear Algebra,7.0,2,8.0,-65.0,32.0,288,False,17.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,3.0,3.0,317.0,266.0,67.0,66.7,84.1,down,-17.4,3.0,2.0,52.32333,On Track,College,LOW
Psychology,19.0,2,23.0,-89.0,119.0,950,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,377.0,271.0,25.0,25.0,74.5,down,-49.5,20.0,5.0,0.886662,Over-Supplied,College,LOW
English Grammar and Syntax,62.0,3,74.0,-96.0,416.0,2411,False,18.0,True,['Apr'],19.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,,,,,,,,2.0,1246.0,923.0,33.0,33.3,74.9,down,-41.5,24.0,8.0,13.75,Over-Supplied,High School,LOW
Competition Math,3.0,3,4.0,-14.0,3.0,117,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,,2.0,162.0,137.0,0.0,0.0,85.6,down,-85.6,2.0,0.0,91.70333,Under-Used,High School,LOW
Mechanical Engineering,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,,,,,,,1.0,5.0,152.0,126.0,33.0,33.3,83.9,down,-50.6,3.0,1.0,72.806663,Under-Used,College,LOW
AP English Literature and Composition,14.0,3,17.0,-82.0,80.0,544,False,18.0,False,,18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,1.0,206.0,149.0,100.0,100.0,71.8,up,28.2,4.0,4.0,15.99333,On Track,AP,LOW
Physics 2,3.0,3,4.0,-10.0,2.0,111,False,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,1.0,1.0,160.0,130.0,100.0,100.0,81.1,up,18.9,1.0,1.0,23.071666,On Track,College,LOW
College and University Admissions,19.0,2,23.0,-89.0,119.0,950,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,307.0,247.0,23.0,23.1,83.0,down,-59.9,13.0,3.0,143.53333,Under-Used,College,LOW
AP Microeconomics,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,2.0,2.0,1.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,4.0,6.0,4.0,2.0,,,,,,,,2.0,109.0,86.0,50.0,50.0,80.0,down,-30.0,4.0,2.0,30.789996,On Track,AP,LOW
C++,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,151.0,127.0,0.0,0.0,84.7,down,-84.7,1.0,0.0,24.0,Under-Used,College,LOW
Pharmacology,8.0,2,10.0,-75.0,42.0,400,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,144.0,110.0,38.0,37.5,78.7,down,-41.2,8.0,3.0,24.0,Under-Used,College,LOW
French 3,4.0,3,5.0,-14.0,4.0,117,False,24.0,False,,24.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,,,,,,,,1.0,1.0,147.0,119.0,50.0,50.0,81.4,down,-31.4,2.0,1.0,0.094999,On Track,Language,LOW
Math 2,3.0,4,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],26.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,3.0,,,,,,,,2.0,370.0,308.0,50.0,50.0,83.4,down,-33.4,2.0,1.0,63.249995,True Supply Problem,High School,LOW
Multivariable Calculus,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,0.0,2.0,148.0,127.0,86.0,,85.8,,,0.0,0.0,26.405,True Supply Problem,College,LOW
JavaScript,4.0,2,5.0,-50.0,14.0,200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,159.0,125.0,50.0,50.0,79.0,down,-29.0,2.0,1.0,23.411663,On Track,College,LOW
AP Computer Science Principles,4.0,2,5.0,-43.0,12.0,175,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,2.0,3.0,189.0,159.0,50.0,50.0,84.5,down,-34.5,2.0,1.0,27.96666,On Track,AP,LOW
Corporate Finance,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,72.0,58.0,0.0,0.0,82.9,down,-82.9,2.0,0.0,40.783328,Under-Used,College,LOW
Vietnamese,1.0,4,1.0,257.0,-18.0,28,True,25.0,False,,25.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,6.0,4.0,,,,,,,,0.0,1.0,16.0,15.0,94.0,,93.8,,,0.0,0.0,1.17666,True Supply Problem,Language,LOW
Cyber Security,7.0,2,8.0,-71.0,35.0,350,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,78.0,51.0,12.0,12.5,71.4,down,-58.9,8.0,1.0,29.96666,Under-Used,College,LOW
BCABA,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,14.0,7.0,0.0,0.0,53.8,down,-53.8,1.0,0.0,19.895,Over-Supplied,Professional/Cert,LOW
IB Biology,3.0,2,4.0,-33.0,7.0,150,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,138.0,110.0,50.0,50.0,80.1,down,-30.1,2.0,1.0,20.278331,On Track,IB,LOW
Electrical and Computer Engineering,1.0,2,1.0,143.0,-10.0,41,True,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,1.0,1.0,71.0,60.0,100.0,100.0,84.3,up,15.7,1.0,1.0,95.853328,True Supply Problem,College,LOW
Statics and Dynamics,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,76.0,63.0,83.0,,82.9,,,0.0,0.0,38.559994,On Track,College,LOW
Applied Mathematics,5.0,2,6.0,-54.0,19.0,219,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,2.0,288.0,241.0,0.0,0.0,84.3,down,-84.3,2.0,0.0,20.11666,Over-Supplied,College,LOW
Robotics,1.0,2,1.0,129.0,-9.0,44,True,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,0.0,1.0,53.0,45.0,85.0,,84.9,,,0.0,0.0,136.66666,True Supply Problem,Technology,LOW
Fine arts,6.0,2,7.0,-67.0,28.0,300,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,107.0,79.0,100.0,100.0,73.6,up,26.4,1.0,1.0,29.26666,On Track,Arts & Music,LOW
Business Analytics,3.0,2,4.0,-19.0,4.0,124,False,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,2.0,3.0,140.0,114.0,33.0,33.3,82.5,down,-49.1,3.0,1.0,36.13333,Under-Used,College,LOW
PTCE,1.0,2,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,9.0,8.0,89.0,,88.9,,,0.0,0.0,16.54333,True Supply Problem,Professional/Cert,LOW
Filmmaking,2.0,2,2.0,7.0,-1.0,93,False,15.0,False,,15.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,2.0,1.0,44.0,31.0,20.0,20.0,76.9,down,-56.9,5.0,1.0,4.75,Over-Supplied,Arts & Music,LOW
Mac Basic Computer Skills,5.0,2,6.0,-60.0,21.0,250,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,2.0,89.0,74.0,20.0,20.0,86.9,down,-66.9,5.0,1.0,20.58166,Over-Supplied,Technology,LOW
Cost Accounting,2.0,3,2.0,57.0,-8.0,64,True,22.0,True,['Apr'],22.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,,,,,,,0.0,1.0,69.0,55.0,0.0,0.0,80.9,down,-80.9,1.0,0.0,5.671666,Under-Used,College,LOW
PC Basic Computer Skills,5.0,2,6.0,-66.0,23.0,292,False,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,2.0,123.0,102.0,33.0,33.3,84.2,down,-50.8,3.0,1.0,4.55,Over-Supplied,Technology,LOW
Technical Writing,24.0,2,29.0,-92.0,154.0,1200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,296.0,236.0,44.0,44.4,80.8,down,-36.4,9.0,4.0,24.0,Under-Used,College,LOW
Music Recording,1.0,2,1.0,71.0,-5.0,58,True,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,2.0,46.0,30.0,65.0,,65.2,,,0.0,0.0,83.48333,True Supply Problem,Arts & Music,LOW
Probability,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,297.0,253.0,0.0,0.0,85.8,down,-85.8,2.0,0.0,25.661663,Under-Used,College,LOW
Linguistics,2.0,3,2.0,29.0,-4.0,78,True,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,0.0,1.0,163.0,122.0,75.0,,74.8,,,0.0,0.0,,True Supply Problem,College,LOW
Structural Engineering,1.0,2,1.0,129.0,-9.0,44,True,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,,,,,,,,0.0,1.0,22.0,18.0,0.0,0.0,85.7,down,-85.7,1.0,0.0,2.364997,Under-Used,College,LOW
Rhino,1.0,1,1.0,43.0,-3.0,70,True,10.0,False,,10.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,1.0,21.0,17.0,67.0,66.7,83.3,down,-16.7,3.0,2.0,1.85,True Supply Problem,Technology,LOW
College Level American History,2.0,3,2.0,43.0,-6.0,70,True,20.0,False,,20.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,,,,,,,,,1.0,89.0,69.0,78.0,,77.5,,,0.0,0.0,21.658333,True Supply Problem,College,LOW
Clinical Psychology,3.0,2,4.0,-24.0,5.0,131,False,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,1.0,78.0,59.0,76.0,,75.6,,,0.0,0.0,113.76666,On Track,College,LOW
Conversational Spanish,18.0,10,22.0,-45.0,57.0,183,False,69.0,True,['Apr'],47.0,1.0,0.0,2.0,5.0,10.0,14.0,15.0,23.0,5.0,2.0,5.0,9.0,13.0,14.0,23.0,,,,,,,16.0,5.0,529.0,392.0,32.0,32.0,76.2,down,-44.2,25.0,8.0,24.0,Under-Used,Language,MEDIUM
NCLEX,7.0,1,8.0,-98.0,48.0,4900,False,1.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,2.0,86.0,59.0,80.0,80.0,67.9,up,12.1,5.0,4.0,23.51666,On Track,Professional/Cert,NICHE
Japanese,1.0,3,1.0,171.0,-12.0,37,True,19.0,False,,19.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,,,,,,,,1.0,2.0,68.0,47.0,0.0,0.0,71.2,down,-71.2,2.0,0.0,5.776664,Under-Used,Language,LOW
Orton Gillingham,4.0,1,5.0,-96.0,27.0,2800,False,1.0,False,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,154.0,118.0,40.0,40.0,77.9,down,-37.9,5.0,2.0,24.629996,Under-Used,Other,NICHE
Middle School Writing,99.0,1,119.0,-100.0,690.0,23100,False,3.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,3.0,1872.0,1324.0,41.0,41.4,72.9,down,-31.5,128.0,53.0,25.56666,Under-Used,Middle School,NICHE
College Physics,9.0,3,11.0,-70.0,44.0,332,False,19.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,,,,,,,5.0,1.0,451.0,371.0,80.0,80.0,82.3,flat,-2.3,5.0,4.0,36.98333,On Track,College,LOW
College Algebra,6.0,2,7.0,-64.0,27.0,280,False,15.0,True,['Apr'],15.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,4.0,6.0,4.0,1.0,,,,,,,3.0,5.0,621.0,528.0,50.0,50.0,85.4,down,-35.4,6.0,3.0,39.546666,On Track,College,LOW
PSAT,9.0,1,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,614.0,527.0,82.0,82.1,86.0,down,-3.9,28.0,23.0,23.693333,On Track,Test Prep,NICHE
Financial Accounting,8.0,2,10.0,-71.0,40.0,350,False,16.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,,,,,,,4.0,4.0,202.0,160.0,33.0,33.3,81.3,down,-48.0,9.0,3.0,24.0,Under-Used,College,LOW
Mandarin Chinese 1,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,96.0,68.0,67.0,66.7,71.0,down,-4.3,3.0,2.0,13.399996,On Track,Language,NICHE
Drawing,16.0,1,19.0,-94.0,105.0,1600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,216.0,143.0,29.0,29.4,69.3,down,-39.9,17.0,5.0,15.6,Over-Supplied,Arts & Music,NICHE
SAT Writing and Language,9.0,1,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,10.0,2.0,480.0,407.0,85.0,85.0,84.8,flat,0.2,20.0,17.0,26.069997,On Track,Test Prep,NICHE
French 1,10.0,1,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,179.0,127.0,12.0,12.5,73.7,down,-61.2,8.0,1.0,24.441661,Under-Used,Language,NICHE
ARRT - Radiography,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,15.0,11.0,0.0,0.0,78.6,down,-78.6,1.0,0.0,64.886666,Under-Used,Professional/Cert,NICHE
NCLEX-RN,5.0,1,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,4.0,1.0,77.0,51.0,60.0,60.0,66.7,down,-6.7,5.0,3.0,26.16666,On Track,Professional/Cert,NICHE
Conversational German,2.0,3,2.0,50.0,-7.0,67,True,21.0,False,,21.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,6.0,4.0,,,,,,,,0.0,2.0,52.0,37.0,71.0,,71.2,,,0.0,0.0,5.93333,True Supply Problem,Language,LOW
NPTE,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,15.0,12.0,50.0,50.0,84.6,down,-34.6,2.0,1.0,22.6,On Track,Professional/Cert,NICHE
Java,10.0,1,12.0,-89.0,62.0,875,False,8.0,True,['Apr'],8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,283.0,236.0,50.0,50.0,84.6,down,-34.6,10.0,5.0,12.896664,On Track,College,NICHE
Basic Computer Literacy,18.0,3,22.0,-83.0,104.0,573,False,22.0,True,['Apr'],13.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,,,,,,,,3.0,317.0,243.0,9.0,9.1,79.1,down,-70.0,11.0,1.0,24.324999,Under-Used,Technology,LOW
Organic Chemistry 2,3.0,1,4.0,-62.0,13.0,262,False,8.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,0.0,1.0,186.0,155.0,83.0,,83.3,,,0.0,0.0,25.976662,On Track,College,NICHE
Computer Programming,15.0,1,18.0,-93.0,98.0,1500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,423.0,328.0,36.0,36.4,79.8,down,-43.4,22.0,8.0,25.736666,Under-Used,College,NICHE
Creative Writing,81.0,1,97.0,-99.0,560.0,8100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,991.0,708.0,37.0,37.0,73.1,down,-36.2,46.0,17.0,26.63333,Under-Used,College,NICHE
College Computer Science,11.0,2,13.0,-86.0,66.0,700,False,11.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,,,,,6.0,6.0,279.0,216.0,38.0,37.5,78.6,down,-41.1,8.0,3.0,66.426664,Under-Used,College,LOW
Electrical Engineering,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,73.0,63.0,100.0,100.0,85.7,up,14.3,3.0,3.0,20.58333,On Track,College,NICHE
Portuguese,1.0,1,1.0,29.0,-2.0,78,True,9.0,False,,9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,1.0,1.0,49.0,34.0,0.0,0.0,72.3,down,-72.3,2.0,0.0,18.88,Under-Used,Language,NICHE
General Chemistry 2,4.0,1,5.0,-68.0,19.0,311,False,9.0,True,['Apr'],9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,0.0,2.0,275.0,227.0,0.0,0.0,83.2,down,-83.2,2.0,0.0,30.119994,Under-Used,College,NICHE
Differential Equations,5.0,2,6.0,-69.0,24.0,318,False,11.0,True,['Apr'],11.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,,,,,,1.0,2.0,197.0,162.0,100.0,100.0,82.1,up,17.9,1.0,1.0,24.0,On Track,College,LOW
Spanish 4,12.0,1,14.0,-92.0,77.0,1200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,504.0,397.0,25.0,25.0,79.2,down,-54.2,4.0,1.0,9.741665,Over-Supplied,Language,NICHE
OTR,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,12.0,6.0,0.0,0.0,54.5,down,-54.5,1.0,0.0,11.52,Over-Supplied,Professional/Cert,NICHE
High School Level American History,11.0,1,13.0,-91.0,70.0,1100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,327.0,236.0,39.0,38.9,74.1,down,-35.2,18.0,7.0,9.906666,Over-Supplied,High School,NICHE
American Sign Language,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,1.0,49.0,34.0,20.0,20.0,75.0,down,-55.0,5.0,1.0,32.974995,Under-Used,Language,NICHE
Grade 11 Physics,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,208.0,168.0,81.0,,80.8,,,0.0,0.0,21.8,On Track,High School,NICHE
Latin 1,2.0,1,2.0,-57.0,8.0,233,False,6.0,False,,6.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,53.0,41.0,67.0,66.7,78.0,down,-11.3,3.0,2.0,16.789996,On Track,Language,NICHE
CPA FAR,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,43.0,38.0,88.0,,88.4,,,0.0,0.0,0.65,On Track,Professional/Cert,NICHE
ACT Reading,5.0,2,6.0,-66.0,23.0,292,False,12.0,True,['Apr'],12.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,4.0,3.0,342.0,295.0,86.0,85.7,86.3,flat,-0.6,7.0,6.0,71.18333,On Track,Test Prep,LOW
