Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
Middle School Science,60.0,6,72.0,-89.0,375.0,933,False,45.0,True,['Apr'],45.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,,,,,,,,10.0,1493.0,1094.0,48.0,47.6,75.2,down,-27.6,105.0,50.0,21.0,179.0,52.0,41.56666,44.63763796387416,Middle School,MEDIUM,48,On Track,['idle_pool'],On Track
College Biology,19.0,8,23.0,-56.0,75.0,229,False,58.0,True,['Apr'],57.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,,,,,,,11.0,5.0,543.0,416.0,63.0,63.2,77.1,down,-13.9,19.0,12.0,4.0,119.0,33.0,25.7,42.16906734622878,College,MEDIUM,48,On Track,['idle_pool'],On Track
LSAT,4.0,9,5.0,132.0,-37.0,43,True,65.0,True,['Apr'],61.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,10.0,,,,,,,2.0,22.0,100.0,78.0,100.0,100.0,77.3,up,22.7,3.0,3.0,1.0,52.0,22.0,24.0,49.76504546672621,Test Prep,MEDIUM,48,Investigate — Capacity Available,['idle_pool'],Under-Used
Coding,15.0,6,18.0,-58.0,61.0,239,False,44.0,True,['Apr'],44.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,,,,,,,,6.0,341.0,258.0,55.0,54.5,77.1,down,-22.6,22.0,12.0,2.0,11.0,5.0,39.53666,39.84761193181818,College,MEDIUM,48,On Track,['idle_pool'],On Track
Handwriting,16.0,5,19.0,-68.0,76.0,311,False,36.0,True,['Apr'],36.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,,,,,,,,6.0,244.0,187.0,29.0,28.6,78.1,down,-49.5,7.0,2.0,0.0,17.0,6.0,16.18833,46.52355914994096,Elementary,MEDIUM,48,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Elementary School English,92.0,7,110.0,-93.0,598.0,1400,False,46.0,True,['Apr'],33.0,5.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,,,,,,,,7.0,2893.0,2071.0,40.0,40.4,73.1,down,-32.7,136.0,55.0,16.0,210.0,30.0,24.0,43.28544657020667,Elementary,MEDIUM,48,On Track,['idle_pool'],On Track
AP Physics 1,10.0,5,12.0,-47.0,33.0,189,False,37.0,True,['Apr'],36.0,5.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,,,,,,,5.0,1.0,511.0,431.0,86.0,85.7,84.3,flat,1.4,7.0,6.0,0.0,0.0,0.0,26.85666,44.21465439402248,AP,MEDIUM,48,On Track,['idle_pool'],On Track
AP Calculus BC,5.0,7,6.0,34.0,-12.0,74,True,47.0,True,['Apr'],46.0,5.0,5.0,4.0,4.0,7.0,9.0,12.0,6.0,5.0,4.0,4.0,9.0,10.0,9.0,6.0,,,,,,,4.0,3.0,369.0,316.0,50.0,50.0,86.0,down,-36.0,4.0,2.0,1.0,7.0,1.0,40.88333,45.99919703882119,AP,MEDIUM,48,Investigate — Capacity Available,['idle_pool'],Under-Used
AP Human Geography,3.0,5,4.0,81.0,-17.0,55,True,38.0,True,['Apr'],38.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,,,,,,,2.0,2.0,104.0,77.0,33.0,33.3,75.2,down,-41.9,3.0,1.0,0.0,0.0,0.0,26.15,48.52991397756687,AP,MEDIUM,48,Investigate — Capacity Available,['idle_pool'],Under-Used
Spanish 1,19.0,6,23.0,-68.0,90.0,309,False,43.0,True,['Apr'],43.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,,,,,,,14.0,1.0,634.0,486.0,50.0,50.0,77.6,down,-27.6,22.0,11.0,1.0,7.0,2.0,23.593332,43.20233459883574,Language,MEDIUM,48,On Track,['idle_pool'],On Track
Spanish 2,14.0,4,17.0,-68.0,67.0,316,False,31.0,False,,31.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,,,,,,,,5.0,2.0,605.0,467.0,20.0,20.0,78.2,down,-58.2,10.0,2.0,0.0,14.0,5.0,7.239996,42.451087140625,Language,MEDIUM,48,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
AP Statistics,7.0,5,8.0,-31.0,15.0,144,False,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,,,,,,,7.0,1.0,384.0,323.0,50.0,50.0,85.0,down,-35.0,10.0,5.0,2.0,139.0,23.0,41.49166,49.214557130032446,AP,MEDIUM,48,On Track,['idle_pool'],On Track
