Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
Filmmaking,2.0,2,2.0,7.0,-1.0,93,False,15.0,False,,15.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,2.0,1.0,45.0,31.0,17.0,16.7,76.9,down,-60.3,6.0,1.0,2.0,1.0,1.0,4.75,39.11131183574879,Arts & Music,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Mac Basic Computer Skills,5.0,2,6.0,-60.0,21.0,250,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,2.0,89.0,74.0,20.0,20.0,86.9,down,-66.9,5.0,1.0,0.0,1.0,1.0,20.58166,39.243555527065524,Technology,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Cost Accounting,2.0,3,2.0,57.0,-8.0,64,True,22.0,True,['Apr'],22.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,,,,,,,0.0,1.0,69.0,55.0,0.0,0.0,80.9,down,-80.9,1.0,0.0,,,,5.671666,46.31013507853403,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
PC Basic Computer Skills,5.0,2,6.0,-66.0,23.0,292,False,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,2.0,123.0,102.0,33.0,33.3,84.2,down,-50.8,3.0,1.0,1.0,3.0,1.0,4.55,43.63183105128205,Technology,LOW,60,On Track,['idle_pool'],On Track
Technical Writing,24.0,2,29.0,-92.0,154.0,1200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,297.0,236.0,40.0,40.0,80.8,down,-40.8,10.0,4.0,1.0,1.0,1.0,22.493332,44.363608140171564,College,LOW,60,On Track,['idle_pool'],On Track
Music Recording,1.0,2,1.0,71.0,-5.0,58,True,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,2.0,46.0,30.0,0.0,0.0,65.2,down,-65.2,0.0,0.0,,,,83.48333,30.61567163120567,Arts & Music,LOW,60,Recruit More,"['idle_pool', 'new_tutor_stuck', 'paper_supply']",True Supply Problem
Probability,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,298.0,254.0,0.0,0.0,85.8,down,-85.8,2.0,0.0,0.0,13.0,6.0,25.661663,48.70149355417754,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Linguistics,2.0,3,2.0,29.0,-4.0,78,True,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,0.0,1.0,163.0,121.0,0.0,0.0,74.7,down,-74.7,1.0,0.0,1.0,1.0,0.0,,42.37425235955056,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Structural Engineering,1.0,2,1.0,129.0,-9.0,44,True,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,,,,,,,,0.0,1.0,23.0,18.0,0.0,0.0,81.8,down,-81.8,1.0,0.0,1.0,0.0,0.0,2.364997,42.37912249674902,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Rhino,1.0,1,1.0,43.0,-3.0,70,True,10.0,False,,10.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,1.0,21.0,17.0,67.0,66.7,83.3,down,-16.7,3.0,2.0,,,,1.85,25.225225000000002,Technology,LOW,60,Investigate — Capacity Available,['idle_pool'],Under-Used
College Level American History,2.0,3,2.0,43.0,-6.0,70,True,20.0,False,,20.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,,,,,,,,,1.0,89.0,69.0,0.0,0.0,77.5,down,-77.5,0.0,0.0,,,,21.658333,51.51880644286906,College,LOW,60,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Clinical Psychology,3.0,2,4.0,-24.0,5.0,131,False,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,1.0,78.0,59.0,0.0,0.0,75.6,down,-75.6,0.0,0.0,,,,113.76666,42.58810457727517,College,LOW,60,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck', 'high_wait']",On Track — High Wait
Conversational Spanish,18.0,10,22.0,-45.0,57.0,183,False,69.0,True,['Apr'],47.0,1.0,0.0,2.0,5.0,10.0,14.0,15.0,23.0,5.0,2.0,5.0,9.0,13.0,14.0,23.0,,,,,,,16.0,5.0,530.0,392.0,32.0,32.0,76.0,down,-44.0,25.0,8.0,2.0,6.0,2.0,24.0,43.9416015325335,Language,MEDIUM,48,On Track,['idle_pool'],On Track
NCLEX,7.0,1,8.0,-98.0,48.0,4900,False,1.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,2.0,87.0,59.0,80.0,80.0,67.1,up,12.9,5.0,4.0,0.0,0.0,0.0,23.503327,44.58557511335013,Professional/Cert,NICHE,72,On Track,['idle_pool'],On Track
Japanese,1.0,3,1.0,171.0,-12.0,37,True,19.0,False,,19.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,,,,,,,,1.0,2.0,68.0,47.0,0.0,0.0,71.2,down,-71.2,2.0,0.0,1.0,0.0,0.0,5.776664,43.44821624117327,Language,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Orton Gillingham,4.0,1,5.0,-82.0,23.0,560,False,5.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,2.0,154.0,118.0,40.0,40.0,77.9,down,-37.9,5.0,2.0,1.0,0.0,0.0,24.553329,50.80290325219473,Other,NICHE,72,On Track,[],On Track
Middle School Writing,99.0,1,119.0,-100.0,690.0,23100,False,3.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,3.0,1876.0,1327.0,41.0,41.4,72.9,down,-31.5,128.0,53.0,16.0,194.0,31.0,25.409994,42.72538647281275,Middle School,NICHE,72,On Track,['idle_pool'],On Track
College Physics,9.0,3,11.0,-70.0,44.0,332,False,19.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,,,,,,,5.0,1.0,452.0,371.0,80.0,80.0,82.1,flat,-2.1,5.0,4.0,,,,36.98333,44.90896570502161,College,LOW,60,On Track,['idle_pool'],On Track
College Algebra,6.0,2,7.0,-64.0,27.0,280,False,15.0,True,['Apr'],15.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,4.0,6.0,4.0,1.0,,,,,,,3.0,5.0,623.0,529.0,50.0,50.0,85.3,down,-35.3,6.0,3.0,0.0,55.0,5.0,39.546666,46.1365736443608,College,LOW,60,On Track,['idle_pool'],On Track
PSAT,9.0,1,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,621.0,531.0,79.0,79.3,85.8,down,-6.5,29.0,23.0,4.0,44.0,17.0,23.386666,51.33527106905412,Test Prep,NICHE,72,On Track,[],On Track
Financial Accounting,8.0,2,10.0,-71.0,40.0,350,False,16.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,,,,,,,4.0,4.0,205.0,161.0,33.0,33.3,80.6,down,-47.3,9.0,3.0,0.0,1.0,0.0,24.0,47.85464738071815,College,LOW,60,On Track,['idle_pool'],On Track
Mandarin Chinese 1,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,96.0,67.0,67.0,66.7,69.9,down,-3.2,3.0,2.0,,,,13.399996,47.0222915301825,Language,NICHE,72,On Track,['idle_pool'],On Track
Drawing,16.0,1,19.0,-94.0,105.0,1600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,218.0,143.0,29.0,29.4,68.7,down,-39.2,17.0,5.0,3.0,2.0,1.0,15.6,39.77453265908133,Arts & Music,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
SAT Writing and Language,9.0,1,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,10.0,2.0,481.0,407.0,85.0,85.0,84.6,flat,0.4,20.0,17.0,2.0,20.0,9.0,26.85,46.89820268459186,Test Prep,NICHE,72,On Track,['idle_pool'],On Track
French 1,10.0,1,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,181.0,128.0,12.0,12.5,73.4,down,-60.9,8.0,1.0,1.0,0.0,0.0,24.299994,43.74731560075849,Language,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
ARRT - Radiography,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,15.0,11.0,0.0,0.0,78.6,down,-78.6,1.0,0.0,,,,68.45,41.37414066985646,Professional/Cert,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
NCLEX-RN,5.0,1,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,1.0,77.0,51.0,60.0,60.0,66.7,down,-6.7,5.0,3.0,1.0,0.0,0.0,26.16666,44.4035481595092,Professional/Cert,NICHE,72,On Track,['idle_pool'],On Track
Conversational German,2.0,3,2.0,50.0,-7.0,67,True,21.0,False,,21.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,6.0,4.0,,,,,,,,0.0,2.0,53.0,37.0,0.0,0.0,69.8,down,-69.8,0.0,0.0,,,,5.93333,43.26706156351791,Language,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
NPTE,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,15.0,12.0,50.0,50.0,84.6,down,-34.6,2.0,1.0,,,,22.6,50.72011563981042,Professional/Cert,NICHE,72,On Track,[],On Track
Java,10.0,1,12.0,-89.0,62.0,875,False,8.0,True,['Apr'],8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,286.0,237.0,45.0,45.5,84.4,down,-38.9,11.0,5.0,1.0,0.0,0.0,12.896664,41.65582842105263,College,NICHE,72,On Track,['idle_pool'],On Track
Basic Computer Literacy,18.0,3,22.0,-83.0,104.0,573,False,22.0,True,['Apr'],13.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,,,,,,,,3.0,317.0,243.0,9.0,9.1,79.1,down,-70.0,11.0,1.0,2.0,6.0,4.0,25.14833,42.14626275003312,Technology,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Organic Chemistry 2,3.0,1,4.0,-62.0,13.0,262,False,8.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,0.0,1.0,187.0,155.0,0.0,0.0,82.9,down,-82.9,0.0,0.0,0.0,13.0,5.0,25.976662,43.883425732407126,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Computer Programming,15.0,1,18.0,-93.0,98.0,1500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,424.0,328.0,36.0,36.4,79.6,down,-43.2,22.0,8.0,0.0,1.0,0.0,25.736666,43.56767251895094,College,NICHE,72,On Track,['idle_pool'],On Track
Creative Writing,81.0,1,97.0,-99.0,560.0,8100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,998.0,712.0,35.0,35.4,73.2,down,-37.7,48.0,17.0,5.0,20.0,3.0,26.63333,41.44442237403928,College,NICHE,72,On Track,['idle_pool'],On Track
College Computer Science,11.0,2,13.0,-86.0,66.0,700,False,11.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,,,,,6.0,6.0,282.0,217.0,33.0,33.3,78.4,down,-45.1,9.0,3.0,1.0,0.0,0.0,66.426664,40.78922811972544,College,LOW,60,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Electrical Engineering,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,73.0,63.0,100.0,100.0,85.7,up,14.3,3.0,3.0,,,,20.58333,46.73216492136556,College,NICHE,72,On Track,['idle_pool'],On Track
Portuguese,1.0,1,1.0,29.0,-2.0,78,True,9.0,False,,9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,1.0,1.0,49.0,34.0,0.0,0.0,72.3,down,-72.3,2.0,0.0,0.0,8.0,0.0,17.9,42.10192208922742,Language,NICHE,72,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
General Chemistry 2,4.0,1,5.0,-68.0,19.0,311,False,9.0,True,['Apr'],9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,0.0,2.0,276.0,228.0,0.0,0.0,83.2,down,-83.2,2.0,0.0,0.0,34.0,8.0,28.81666,46.64408950758362,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Differential Equations,5.0,2,6.0,-69.0,24.0,318,False,11.0,True,['Apr'],11.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,,,,,,1.0,2.0,198.0,163.0,100.0,100.0,82.2,up,17.8,1.0,1.0,0.0,1.0,1.0,24.0,48.50630476098503,College,LOW,60,On Track,['idle_pool'],On Track
Spanish 4,12.0,1,14.0,-92.0,77.0,1200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,506.0,397.0,25.0,25.0,78.9,down,-53.9,4.0,1.0,0.0,6.0,2.0,9.741665,43.56651064774592,Language,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
OTR,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,12.0,6.0,0.0,0.0,54.5,down,-54.5,1.0,0.0,,,,11.52,48.285810154525386,Professional/Cert,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
High School Level American History,11.0,1,13.0,-91.0,70.0,1100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,329.0,237.0,37.0,36.8,74.2,down,-37.4,19.0,7.0,2.0,2.0,2.0,9.906666,47.07405667925134,High School,NICHE,72,On Track,['idle_pool'],On Track
American Sign Language,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,1.0,50.0,34.0,17.0,16.7,75.0,down,-58.3,6.0,1.0,2.0,0.0,0.0,32.974995,40.548551420454544,Language,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Grade 11 Physics,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,207.0,168.0,0.0,0.0,81.2,down,-81.2,0.0,0.0,0.0,7.0,1.0,21.8,43.29815755689137,High School,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Latin 1,2.0,1,2.0,-57.0,8.0,233,False,6.0,False,,6.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,53.0,41.0,67.0,66.7,78.0,down,-11.3,3.0,2.0,1.0,1.0,1.0,16.789996,38.3992268264173,Language,NICHE,72,On Track,['idle_pool'],On Track
CPA FAR,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,44.0,38.0,0.0,0.0,86.4,down,-86.4,0.0,0.0,0.0,1.0,0.0,0.635,40.54608892171344,Professional/Cert,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
ACT Reading,5.0,2,6.0,-66.0,23.0,292,False,12.0,True,['Apr'],12.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,4.0,3.0,343.0,296.0,86.0,85.7,86.3,flat,-0.6,7.0,6.0,0.0,6.0,2.0,71.18333,48.32676246825273,Test Prep,LOW,60,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Math 3,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,345.0,282.0,0.0,0.0,81.7,down,-81.7,0.0,0.0,,,,54.043329,47.95257657283495,High School,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
CogAT,1.0,2,1.0,57.0,-4.0,64,True,11.0,True,['Apr'],11.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,0.0,1.0,126.0,100.0,0.0,0.0,79.4,down,-79.4,0.0,0.0,,,,4.598327,56.731255671972605,Test Prep,LOW,60,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Middle School Social Studies,33.0,1,40.0,-100.0,230.0,23100,False,1.0,False,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,886.0,670.0,41.0,40.9,77.4,down,-36.5,44.0,18.0,4.0,1.0,0.0,25.76666,45.55013917743689,Middle School,NICHE,72,On Track,['idle_pool'],On Track
ACT English,4.0,3,5.0,-36.0,10.0,156,False,18.0,True,['Apr'],17.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,,,,,,,2.0,2.0,414.0,354.0,67.0,66.7,85.9,down,-19.3,9.0,6.0,1.0,14.0,2.0,24.0,48.02031131884278,Test Prep,LOW,60,On Track,['idle_pool'],On Track
VTNE,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,5.0,5.0,0.0,0.0,100.0,down,-100.0,0.0,0.0,,,,8.143331,64.32291651785714,Professional/Cert,NICHE,72,On Track,['new_tutor_stuck'],On Track
French Immersion,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,50.0,35.0,0.0,0.0,70.0,down,-70.0,0.0,0.0,,,,0.11666,36.25704270462633,Language,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
AP Psychology,10.0,1,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,200.0,156.0,33.0,33.3,80.1,down,-46.8,9.0,3.0,2.0,108.0,15.0,13.88333,36.7966586032651,AP,NICHE,72,On Track,['idle_pool'],On Track
NCLEX-PN,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,28.0,19.0,50.0,50.0,69.2,down,-19.2,2.0,1.0,0.0,0.0,0.0,0.95,52.097493886462885,Professional/Cert,NICHE,72,On Track,[],On Track
Earth Science,16.0,1,19.0,-94.0,105.0,1600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,294.0,208.0,25.0,25.0,72.0,down,-47.0,8.0,2.0,1.0,11.0,2.0,29.11,47.37010866336634,High School,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Mandarin Chinese 2,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,81.0,53.0,33.0,33.3,66.7,down,-33.3,3.0,1.0,,,,1.474998,48.54619222269443,Language,NICHE,72,On Track,['idle_pool'],On Track
Microbiology,7.0,1,8.0,-86.0,42.0,700,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,291.0,239.0,60.0,60.0,82.5,down,-22.5,5.0,3.0,2.0,40.0,28.0,24.186664,42.35742455474934,College,NICHE,72,On Track,['idle_pool'],On Track
Chemistry 2,3.0,2,4.0,-43.0,9.0,175,False,12.0,False,,12.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,,,,,,,,0.0,1.0,241.0,199.0,0.0,0.0,83.3,down,-83.3,2.0,0.0,0.0,34.0,8.0,18.46,48.11745226697353,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
COTA,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,5.0,3.0,0.0,0.0,60.0,down,-60.0,0.0,0.0,,,,5.04,67.64978137254901,Other,NICHE,72,On Track,['new_tutor_stuck'],On Track
CPA AUD,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,39.0,36.0,0.0,0.0,92.3,down,-92.3,0.0,0.0,0.0,1.0,0.0,1.249995,50.313462879999996,Professional/Cert,NICHE,72,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Functions,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,155.0,139.0,0.0,0.0,90.3,down,-90.3,1.0,0.0,,,,37.923329,48.63066420992257,High School,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
CFA - Level 1,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,18.0,15.0,0.0,0.0,88.2,down,-88.2,1.0,0.0,,,,3.57,41.61496313868613,Professional/Cert,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
CompTIA Security+,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,26.0,16.0,0.0,0.0,64.0,down,-64.0,1.0,0.0,,,,,29.773302431610936,Professional/Cert,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
