Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Median_Goal,Tail_Ratio,IQR_Hours,Wait_State,Primary_Action,Stress_Flags,Problem_Type
AP Macroeconomics,2.0,3,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,98.0,82.0,0.0,0.0,83.7,down,-83.7,0.0,0.0,0.0,1.0,0.0,,,,24.26666,47.77422393137955,AP,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
IB Mathematics: Applications and Interpretation,1.0,3,1.0,229.0,-16.0,30,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,120.0,101.0,0.0,0.0,84.2,down,-84.2,0.0,0.0,0.0,7.0,3.0,,,,69.034999,53.89277132924335,IB,LOW,60,12,,,Unknown,Recruit More,"['new_tutor_stuck', 'paper_supply']",True Supply Problem
IB Chemistry,2.0,3,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],24.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,,,,,,,0.0,1.0,112.0,89.0,0.0,0.0,80.2,down,-80.2,1.0,0.0,0.0,19.0,9.0,,,,45.13333,46.95623565351895,IB,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Digital Media,13.0,3,16.0,-74.0,67.0,379,False,24.0,True,['Apr'],24.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,,,,,,,,3.0,94.0,72.0,50.0,50.0,78.4,down,-28.4,6.0,3.0,1.0,8.0,1.0,,,,115.636662,44.03468361566232,Arts & Music,LOW,60,12,,,Unknown,Investigate — Wait Times,"['idle_pool', 'high_wait']",On Track — High Wait
Artificial Intelligence (AI),4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,1.0,85.0,74.0,50.0,50.0,88.0,down,-38.0,2.0,1.0,0.0,10.0,5.0,,,,76.31666,32.36583131655373,College,LOW,60,12,,,Unknown,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Management,2.0,3,2.0,57.0,-8.0,64,True,22.0,False,,22.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,,,,,,,,0.0,1.0,162.0,125.0,33.0,33.3,78.0,down,-44.7,3.0,1.0,2.0,7.0,2.0,,,,2.369994,42.80650858208955,College,LOW,60,12,,,Unknown,Investigate — Capacity Available,['idle_pool'],Under-Used
Viral Content Creation,1.0,4,1.0,286.0,-20.0,26,True,27.0,True,['Apr'],27.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,21.0,18.0,0.0,0.0,85.7,down,-85.7,0.0,0.0,,,,,,,,32.56991952054794,Other,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Social Networking,1.0,4,1.0,271.0,-19.0,27,True,26.0,True,['Apr'],26.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,,,,,,,0.0,1.0,63.0,50.0,0.0,0.0,79.4,down,-79.4,0.0,0.0,0.0,1.0,0.0,,,,34.926664,36.63818915094339,Technology,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Middle School English,82.0,2,98.0,-98.0,561.0,4415,False,13.0,True,['Apr'],6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,,,,,,,,9.0,2331.0,1701.0,42.0,42.0,74.6,down,-32.6,119.0,50.0,14.0,183.0,28.0,,,,25.75,43.33504392301186,Middle School,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
MCAT,5.0,3,6.0,-49.0,17.0,194,False,18.0,True,['Apr'],18.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,,,2.0,3.0,135.0,111.0,80.0,80.0,82.3,flat,-2.3,5.0,4.0,3.0,17.0,14.0,,,,24.0,43.83485352870813,Test Prep,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
ESL/ELL,24.0,3,29.0,-89.0,149.0,884,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,,,,,,,,14.0,1.0,877.0,637.0,21.0,21.4,74.3,down,-52.9,28.0,6.0,5.0,15.0,8.0,,,,17.6,44.70983142935353,Language,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Python,12.0,2,14.0,-83.0,70.0,600,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,3.0,475.0,380.0,62.0,62.5,80.3,down,-17.8,8.0,5.0,1.0,10.0,5.0,,,,19.33333,38.975823199916384,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Anatomy & Physiology,21.0,2,25.0,-92.0,135.0,1225,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,4.0,449.0,323.0,41.0,40.7,73.9,down,-33.2,27.0,11.0,4.0,25.0,21.0,,,,23.55,42.00725744332597,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Kindergarten Readiness,14.0,3,17.0,-82.0,80.0,544,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,3.0,282.0,211.0,31.0,31.2,77.4,down,-46.2,16.0,5.0,2.0,2.0,1.0,,,,24.0,45.43239512555391,Elementary,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Microsoft Excel,13.0,3,16.0,-77.0,70.0,433,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,,,,,,,6.0,1.0,409.0,312.0,31.0,30.8,77.8,down,-47.0,13.0,4.0,4.0,4.0,1.0,,,,24.0,41.65361607098225,Technology,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
HSPT,6.0,4,7.0,-31.0,13.0,145,False,29.0,False,,29.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,,,,,,,,9.0,3.0,185.0,149.0,78.0,78.3,80.9,flat,-2.6,23.0,18.0,3.0,13.0,7.0,,,,8.5,56.81060031064413,Test Prep,LOW,60,12,,,Unknown,On Track,[],On Track
AP US History,10.0,3,12.0,-71.0,50.0,350,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,,,,,,,5.0,1.0,283.0,194.0,43.0,42.9,69.2,down,-26.3,7.0,3.0,1.0,2.0,2.0,,,,17.393332,46.38713851719518,AP,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Chess,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,95.0,80.0,0.0,0.0,85.1,down,-85.1,1.0,0.0,,,,,,,47.02666,42.75349346378018,Other,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Spanish 3,13.0,3,16.0,-80.0,73.0,506,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,,3.0,2.0,536.0,418.0,14.0,14.3,78.8,down,-64.5,7.0,1.0,0.0,14.0,6.0,,,,16.45833,43.02177605079592,Language,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
High School Reading,39.0,3,47.0,-93.0,254.0,1437,False,19.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,,,,,,,,2.0,952.0,720.0,37.0,37.1,77.1,down,-40.0,35.0,13.0,1.0,22.0,5.0,,,,15.94666,43.4793284695201,High School,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
ASVAB,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,,,,,,,0.0,3.0,64.0,51.0,0.0,0.0,81.0,down,-81.0,1.0,0.0,0.0,0.0,0.0,,,,20.02166,57.57212558479533,Test Prep,LOW,60,12,,,Unknown,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Piano,6.0,2,7.0,-71.0,30.0,350,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,167.0,117.0,0.0,0.0,71.8,down,-71.8,4.0,0.0,0.0,20.0,1.0,,,,46.7,38.36619578191609,Arts & Music,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
AP World History,8.0,2,10.0,-70.0,39.0,329,False,17.0,True,['Apr'],16.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,,,,,,,3.0,2.0,260.0,188.0,100.0,100.0,71.8,up,28.2,5.0,5.0,0.0,2.0,2.0,,,,26.879994,45.94100757590941,AP,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Microeconomics,4.0,2,5.0,-57.0,16.0,233,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,1.0,2.0,163.0,126.0,67.0,66.7,77.5,down,-10.8,3.0,2.0,0.0,1.0,1.0,,,,47.41666,48.47824280853696,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
French 2,5.0,3,6.0,-49.0,17.0,194,False,18.0,False,,18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,,,,,,,,1.0,1.0,190.0,148.0,33.0,33.3,78.6,down,-45.3,3.0,1.0,1.0,0.0,0.0,,,,5.76333,44.15308135629252,Language,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Linear Algebra,7.0,2,8.0,-65.0,32.0,288,False,17.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,3.0,3.0,320.0,268.0,67.0,66.7,83.9,down,-17.2,3.0,2.0,0.0,4.0,2.0,,,,52.32333,46.369832828887155,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Psychology,19.0,2,23.0,-89.0,119.0,950,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,384.0,273.0,20.0,20.0,74.7,down,-54.7,25.0,5.0,6.0,99.0,19.0,,,,0.886662,42.14086050244875,College,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
English Grammar and Syntax,62.0,3,74.0,-96.0,416.0,2411,False,18.0,True,['Apr'],19.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,,,,,,,,2.0,1250.0,926.0,38.0,37.5,74.8,down,-37.3,24.0,9.0,1.0,36.0,7.0,,,,13.75,44.35915323758924,High School,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Competition Math,3.0,3,4.0,-14.0,3.0,117,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,,2.0,163.0,138.0,0.0,0.0,85.7,down,-85.7,2.0,0.0,0.0,1.0,1.0,,,,91.70333,53.06264772267206,High School,LOW,60,12,,,Unknown,Investigate — Wait Times,"['new_tutor_stuck', 'high_wait']",On Track — High Wait
Mechanical Engineering,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,,,,,,,1.0,5.0,153.0,127.0,33.0,33.3,84.0,down,-50.7,3.0,1.0,,,,,,,70.729996,41.763269746314705,College,LOW,60,12,,,Unknown,Investigate — Wait Times,['idle_pool'],On Track — High Wait
AP English Literature and Composition,14.0,3,17.0,-82.0,80.0,544,False,18.0,False,,18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,1.0,203.0,147.0,100.0,100.0,72.0,up,28.0,3.0,3.0,1.0,50.0,9.0,,,,15.99333,43.93771776131538,AP,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Physics 2,3.0,3,4.0,-10.0,2.0,111,False,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,1.0,1.0,160.0,130.0,100.0,100.0,81.1,up,18.9,1.0,1.0,0.0,0.0,0.0,,,,23.071666,44.70242215754753,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
College and University Admissions,19.0,2,23.0,-89.0,119.0,950,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,311.0,249.0,20.0,20.0,83.1,down,-63.1,15.0,3.0,2.0,10.0,2.0,,,,143.53333,39.44060468420042,College,LOW,60,12,,,Unknown,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck', 'critical_wait']",On Track — High Wait
AP Microeconomics,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,2.0,2.0,1.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,4.0,6.0,4.0,2.0,,,,,,,,2.0,110.0,87.0,50.0,50.0,80.2,down,-30.2,4.0,2.0,,,,,,,29.60833,49.021412966666674,AP,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
C++,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,152.0,128.0,0.0,0.0,84.8,down,-84.8,1.0,0.0,,,,,,,24.0,40.33405313200777,College,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Pharmacology,8.0,2,10.0,-75.0,42.0,400,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,145.0,110.0,38.0,37.5,78.1,down,-40.6,8.0,3.0,1.0,28.0,19.0,,,,24.0,41.533775,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
French 3,4.0,3,5.0,-14.0,4.0,117,False,24.0,False,,24.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,,,,,,,,1.0,1.0,149.0,120.0,50.0,50.0,81.0,down,-31.0,2.0,1.0,0.0,0.0,0.0,,,,0.094999,45.224925424185294,Language,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Math 2,3.0,4,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],26.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,3.0,,,,,,,,2.0,369.0,307.0,50.0,50.0,83.4,down,-33.4,2.0,1.0,0.0,0.0,0.0,,,,63.249995,46.362503519240136,High School,LOW,60,12,,,Unknown,Recruit More,"['idle_pool', 'paper_supply']",True Supply Problem
Multivariable Calculus,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,0.0,2.0,150.0,129.0,0.0,0.0,86.0,down,-86.0,0.0,0.0,0.0,13.0,6.0,,,,26.405,51.297648516720606,College,LOW,60,12,,,Unknown,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
JavaScript,4.0,2,5.0,-50.0,14.0,200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,160.0,126.0,50.0,50.0,79.1,down,-29.1,2.0,1.0,0.0,0.0,0.0,,,,23.411663,40.219053123123125,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
AP Computer Science Principles,4.0,2,5.0,-43.0,12.0,175,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,2.0,3.0,190.0,160.0,50.0,50.0,84.6,down,-34.6,2.0,1.0,0.0,0.0,0.0,,,,27.96666,43.57841969305052,AP,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Corporate Finance,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,75.0,59.0,0.0,0.0,80.8,down,-80.8,2.0,0.0,0.0,0.0,0.0,,,,40.783328,54.40982037914692,College,LOW,60,12,,,Unknown,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Vietnamese,1.0,4,1.0,257.0,-18.0,28,True,25.0,False,,25.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,6.0,4.0,,,,,,,,0.0,1.0,16.0,15.0,0.0,0.0,93.8,down,-93.8,0.0,0.0,,,,,,,1.17666,37.60073186813186,Language,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Cyber Security,7.0,2,8.0,-71.0,35.0,350,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,78.0,51.0,12.0,12.5,71.4,down,-58.9,8.0,1.0,1.0,1.0,0.0,,,,29.96666,33.032997219950936,College,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
BCABA,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,14.0,7.0,0.0,0.0,53.8,down,-53.8,1.0,0.0,1.0,0.0,0.0,,,,22.1,44.4963905511811,Professional/Cert,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
IB Biology,3.0,2,4.0,-33.0,7.0,150,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,137.0,110.0,50.0,50.0,80.7,down,-30.7,2.0,1.0,1.0,18.0,11.0,,,,20.278331,43.530468235930734,IB,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Electrical and Computer Engineering,1.0,2,1.0,143.0,-10.0,41,True,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,1.0,1.0,72.0,60.0,50.0,50.0,84.3,down,-34.3,2.0,1.0,1.0,0.0,0.0,,,,87.009994,34.26279982497083,College,LOW,60,12,,,Unknown,Recruit More,"['idle_pool', 'paper_supply']",True Supply Problem
Statics and Dynamics,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,77.0,63.0,0.0,0.0,81.8,down,-81.8,0.0,0.0,0.0,0.0,0.0,,,,34.188327,41.7345596297755,College,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Applied Mathematics,5.0,2,6.0,-54.0,19.0,219,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,2.0,290.0,243.0,0.0,0.0,84.4,down,-84.4,2.0,0.0,,,,,,,20.11666,52.38345287230721,College,LOW,60,12,,,Unknown,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Robotics,1.0,2,1.0,129.0,-9.0,44,True,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,0.0,1.0,54.0,46.0,0.0,0.0,85.2,down,-85.2,0.0,0.0,,,,,,,136.66666,46.39245692934782,Technology,LOW,60,12,,,Unknown,Recruit More,"['idle_pool', 'new_tutor_stuck', 'critical_wait', 'paper_supply']",True Supply Problem
Business Analytics,3.0,2,4.0,-19.0,4.0,124,False,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,2.0,3.0,141.0,114.0,25.0,25.0,82.5,down,-57.5,4.0,1.0,1.0,142.0,24.0,,,,36.13333,45.250386980867944,College,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
PTCE,1.0,2,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,9.0,8.0,0.0,0.0,88.9,down,-88.9,0.0,0.0,,,,,,,16.54333,50.91412686980609,Professional/Cert,LOW,60,12,,,Unknown,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Filmmaking,2.0,2,2.0,7.0,-1.0,93,False,15.0,False,,15.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,2.0,1.0,45.0,31.0,17.0,16.7,76.9,down,-60.3,6.0,1.0,2.0,2.0,1.0,,,,4.75,41.92308285052143,Arts & Music,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Mac Basic Computer Skills,5.0,2,6.0,-60.0,21.0,250,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,2.0,89.0,74.0,20.0,20.0,86.9,down,-66.9,5.0,1.0,0.0,1.0,1.0,,,,20.58166,39.37996273397617,Technology,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Cost Accounting,2.0,3,2.0,57.0,-8.0,64,True,22.0,True,['Apr'],22.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,,,,,,,0.0,1.0,69.0,55.0,0.0,0.0,80.9,down,-80.9,1.0,0.0,,,,,,,5.671666,46.31609061082024,College,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
PC Basic Computer Skills,5.0,2,6.0,-66.0,23.0,292,False,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,2.0,123.0,102.0,33.0,33.3,84.2,down,-50.8,3.0,1.0,1.0,5.0,3.0,,,,4.55,43.769106794871796,Technology,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Technical Writing,24.0,2,29.0,-92.0,154.0,1200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,297.0,235.0,40.0,40.0,80.5,down,-40.5,10.0,4.0,1.0,1.0,1.0,,,,22.493332,44.26946953823691,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Music Recording,1.0,2,1.0,71.0,-5.0,58,True,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,2.0,46.0,30.0,0.0,0.0,65.2,down,-65.2,0.0,0.0,,,,,,,83.48333,30.45371019503546,Arts & Music,LOW,60,12,,,Unknown,Recruit More,"['idle_pool', 'new_tutor_stuck', 'paper_supply']",True Supply Problem
Probability,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,298.0,254.0,0.0,0.0,85.8,down,-85.8,2.0,0.0,0.0,14.0,7.0,,,,25.661663,48.77347914490862,College,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Linguistics,2.0,3,2.0,29.0,-4.0,78,True,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,0.0,1.0,162.0,120.0,0.0,0.0,74.5,down,-74.5,1.0,0.0,1.0,1.0,0.0,,,,,41.86867020866773,College,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
