Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
Coding,15.0,6,18.0,-58.0,61.0,239,False,44.0,True,['Apr'],44.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,,,,,,,,6.0,339.0,257.0,55.0,54.5,77.3,down,-22.7,22.0,12.0,39.53666,0.3992998872663551,College,MEDIUM,48,On Track,['idle_pool'],On Track
Handwriting,16.0,5,19.0,-68.0,76.0,311,False,36.0,True,['Apr'],36.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,,,,,,,,6.0,243.0,186.0,29.0,28.6,78.0,down,-49.4,7.0,2.0,16.18833,0.4657458905380334,Elementary,MEDIUM,48,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Elementary School English,92.0,7,110.0,-93.0,598.0,1400,False,46.0,True,['Apr'],33.0,5.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,,,,,,,,7.0,2884.0,2067.0,41.0,40.7,73.2,down,-32.4,135.0,55.0,24.066664,0.4327630397048025,Elementary,MEDIUM,48,On Track,['idle_pool'],On Track
AP Physics 1,10.0,5,12.0,-47.0,33.0,189,False,37.0,True,['Apr'],36.0,5.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,,,,,,,5.0,1.0,508.0,429.0,86.0,85.7,84.4,flat,1.3,7.0,6.0,26.85666,0.4412182420743372,AP,MEDIUM,48,On Track,['idle_pool'],On Track
AP Calculus BC,5.0,7,6.0,34.0,-12.0,74,True,47.0,True,['Apr'],46.0,5.0,5.0,4.0,4.0,7.0,9.0,12.0,6.0,5.0,4.0,4.0,9.0,10.0,9.0,6.0,,,,,,,4.0,3.0,367.0,314.0,50.0,50.0,86.0,down,-36.0,4.0,2.0,40.74333,0.4612580103901611,AP,MEDIUM,48,Investigate — Capacity Available,['idle_pool'],Under-Used
AP Human Geography,3.0,5,4.0,81.0,-17.0,55,True,38.0,True,['Apr'],38.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,,,,,,,2.0,2.0,104.0,77.0,33.0,33.3,75.2,down,-41.9,3.0,1.0,26.15,0.4807169015943768,AP,MEDIUM,48,Investigate — Capacity Available,['idle_pool'],Under-Used
Spanish 1,19.0,6,23.0,-68.0,90.0,309,False,43.0,True,['Apr'],43.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,,,,,,,14.0,1.0,632.0,486.0,50.0,50.0,77.9,down,-27.9,22.0,11.0,23.593332,0.4326285487572914,Language,MEDIUM,48,On Track,['idle_pool'],On Track
Spanish 2,14.0,4,17.0,-68.0,67.0,316,False,31.0,False,,31.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,,,,,,,,5.0,2.0,604.0,467.0,18.0,18.2,78.4,down,-60.2,11.0,2.0,7.239996,0.4252177295838548,Language,MEDIUM,48,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
AP Statistics,7.0,5,8.0,-31.0,15.0,144,False,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,,,,,,,7.0,1.0,382.0,323.0,56.0,55.6,85.3,down,-29.7,9.0,5.0,41.49166,0.4946984467131131,AP,MEDIUM,48,On Track,['idle_pool'],On Track
AP English Language and Composition,30.0,5,36.0,-83.0,175.0,600,False,35.0,True,['Apr'],35.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,,,,,,,,4.0,553.0,398.0,49.0,49.0,74.3,down,-25.3,51.0,25.0,22.55,0.4447095624656851,AP,MEDIUM,48,On Track,['idle_pool'],On Track
Essay Editing,57.0,5,68.0,-91.0,364.0,1140,False,35.0,True,['Apr'],35.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,,,,,,,,4.0,1208.0,895.0,41.0,40.6,76.1,down,-35.5,69.0,28.0,22.38,0.4148059324617162,Other,MEDIUM,48,On Track,['idle_pool'],On Track
AP Physics C: Mechanics,2.0,5,2.0,136.0,-19.0,42,True,33.0,True,['Apr'],33.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,4.0,,,,,,,1.0,4.0,147.0,123.0,0.0,0.0,83.7,down,-83.7,0.0,0.0,65.716665,0.4576961541043211,AP,MEDIUM,48,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Calculus 3,3.0,5,4.0,62.0,-13.0,62,True,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,4.0,,,,,,,1.0,3.0,261.0,223.0,100.0,100.0,85.4,up,14.6,1.0,1.0,23.269998,0.4722467456067715,College,MEDIUM,48,Investigate — Capacity Available,['idle_pool'],Under-Used
AP Computer Science A,7.0,6,8.0,-20.0,10.0,126,False,39.0,True,['Apr'],39.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,3.0,4.0,8.0,8.0,8.0,4.0,,,,,,,,4.0,202.0,163.0,33.0,33.3,82.1,down,-48.8,6.0,2.0,35.486664,0.4073303282372444,AP,MEDIUM,48,On Track,['idle_pool'],On Track
IB Mathematics: Analysis and Approaches,1.0,6,1.0,500.0,-35.0,17,True,42.0,True,['Apr'],42.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,4.0,4.0,6.0,4.0,8.0,8.0,8.0,4.0,,,,,,,0.0,1.0,137.0,114.0,0.0,0.0,83.2,down,-83.2,0.0,0.0,38.449995,0.5182419195177091,IB,MEDIUM,48,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Adobe Illustrator,10.0,3,12.0,-69.0,48.0,318,False,22.0,True,['Apr'],25.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,,,,,,,,4.0,97.0,73.0,83.0,83.3,74.7,up,8.6,6.0,5.0,2.136662,0.355361288209607,Arts & Music,LOW,60,On Track,['idle_pool'],On Track
SAT Math,14.0,2,17.0,-85.0,83.0,653,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,15.0,4.0,734.0,615.0,76.0,75.9,84.1,down,-8.3,29.0,22.0,28.771662,0.4605328640895467,Test Prep,LOW,60,On Track,['idle_pool'],On Track
Study Skills And Organization,17.0,4,20.0,-77.0,92.0,441,False,27.0,True,['Apr'],21.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,,,,,,,3.0,2.0,967.0,776.0,50.0,50.0,80.7,down,-30.7,14.0,7.0,40.401666,0.4801556754672897,Other,LOW,60,On Track,['idle_pool'],On Track
Calculus 2,11.0,5,13.0,-57.0,44.0,233,False,33.0,True,['Apr'],31.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,,,,,,,5.0,1.0,508.0,424.0,57.0,57.1,83.8,down,-26.7,7.0,4.0,24.0,0.4431569782858456,College,MEDIUM,48,On Track,['idle_pool'],On Track
